tenant,sku,nome,click7g,spesa7,spesa_gg,vend_ten_7g,rete7,rete30,pos,stock,marg_eur,categoria
Farmacia Procaccini,951309917,SCHOLL PENNA RIMOZIONE CALLI,84,27.7,3.95,0,no,no,7,4,3.85,MORTO
Farmacia Procaccini,951384003,POLASE SUPERMAG3 18STICK 2G,38,12.5,1.79,0,no,si,3,4,1.21,no-vend-7g
Farmacia Procaccini,973472943,MICROLIFE AFIB ADVANCED EASY,27,8.9,1.27,0,no,si,4,0,9.31,no-vend-7g
Farmacia Procaccini,987411790,RILASTIL ULTRA 100 PROT COLOR,27,8.9,1.27,0,no,si,1,28,3.74,no-vend-7g
Farmacia Procaccini,942828765,MGK VIS JUNIOR ARANCIA 10BUST,25,8.2,1.18,0,no,si,1,1,3.42,no-vend-7g
Farmacia Procaccini,988927366,VITAMINDERMINA POLVERE SPRAY,24,7.9,1.13,0,si,si,19,0,2.08,vende-rete
Farmacia Procaccini,987411853,MELA B3 GEL DET VISO 200ML,22,7.2,1.04,0,si,si,1,1,1.98,vende-rete
Farmacia Procaccini,949645360,DR VITI DRENANTE ANANAS28STICK,22,7.2,1.04,0,no,si,3,0,2.17,no-vend-7g
Farmacia Procaccini,950838223,SUPRADYN EXPERT MAGNESIO 60CPS,18,5.9,0.85,0,si,si,1,11,1.35,vende-rete
Farmacia Procaccini,989666298,ZZZQUIL SONNO TUTTA NOTTE28CPR,17,5.6,0.80,0,si,si,5,10,1.25,vende-rete
Farmacia Procaccini,987247689,ONLIGOL FIBRE PRUGNA 20BUST,17,5.6,0.80,0,si,si,3,3,1.20,vende-rete
Farmacia Procaccini,987403805,PARANIX SHAMPOO TRATT TP 200ML,16,5.3,0.75,0,no,si,3,7,2.14,no-vend-7g
Farmacia Procaccini,951384015,POLASE SUPERMAG3 BAR 120G,15,4.9,0.71,0,si,si,1,6,1.94,vende-rete
Farmacia Procaccini,976293783,DERMOVITAMINA MICO TRATTA/COL,15,4.9,0.71,0,no,si,4,12,3.00,no-vend-7g
