tenant,sku,nome,click_oggi,spesa_oggi,pos,vende_qui_30g,vende_rete_30g,stato
MPF,978113405,LAEVOLAC PANCIA SGONFIA 30CPR,17,5.6,1,si,si,attivo
Farmacia Procaccini,905338051,FORTILASE 20CPR,15,4.9,1,si,si,attivo
SubitoFarma,935634030,LONGLIFE OPC COMPLEX 60CPS VEG,12,4.0,1,no,si,attivo
Papa,950075857,LAEVOLAC COLON IRRITABILE30CPR,8,2.6,1,si,si,attivo
SubitoFarma,903987459,VEA DETERGENTE PROT/LENIT 250M,7,2.3,1,no,si,attivo
Farmacia Procaccini,951309917,SCHOLL PENNA RIMOZIONE CALLI,7,2.3,1,si,si,attivo
SubitoFarma,947105969,LONGLIFE LIPO ACTIVATOR P60TAV,7,2.3,1,si,si,attivo
Papa,927972303,SCREEN DROGA TEST CAPELLO,6,2.0,4,si,si,attivo
Farmacia Procaccini,921232649,PESCURA HEEL ORIG BYCAST SAB37,5,1.6,1,si,si,attivo
SubitoFarma,977021789,KLORANE SPRAY SOL SUBL SPF50,5,1.6,1,no,no,attivo
Papa,981265414,Lactoflorene Repair Ibs 10bust,5,1.6,1,si,si,attivo
SubitoFarma,943954723,CONTOUR NEXT GLUCOMETRO,5,1.6,1,si,si,attivo
SubitoFarma,980911770,NERADIN 28CPS,4,1.3,1,no,si,attivo
SubitoFarma,941166757,VENAFLUX VITI 30CPR,4,1.3,1,no,si,attivo
Farmacia Procaccini,921232450,PESCURA FLAT ORIG BYCAST SAB43,4,1.3,1,no,si,attivo
Papa,951121843,MICALMO 12FL 10ML,4,1.3,1,no,si,attivo
Papa,976293783,DERMOVITAMINA MICO TRATTA/COL,4,1.3,2,no,si,attivo
SubitoFarma,986830812,THIRODIUM 100MCG 30CPS MOLLI,4,1.3,1,no,si,attivo
Farmastelia,984819894,NEURODOL ACIDO LIPOICO 30CPR,4,1.3,1,no,si,attivo
Farmastelia,987772542,COENZIMA Q10 100PAST,4,1.3,1,no,si,attivo
MPF,987296845,ANAPHASE CADUTA ASSOTT SH400ML,4,1.3,2,si,si,attivo
