"minsan";"name";"keyword";"description"
"043445016";"FMS CALCIUM FLUORATUM COMPLEX";"Fms calcium fluoratum complex gocce";"FMS CALCIUM FLUORATUM COMPLEX"
"045294016";"FM CHELIDONIUM COMPLEX*30ML GT";"Fm chelidonium";"FM CHELIDONIUM COMPLEX*30ML GT"
"045716103";"BRYONIA 7CH 80GR 4G";"Bryonia 7ch";"BRYONIA*7CH 80GR 4G"
"045783166";"HEPAR SULFUR 9CH 80GR 4G";"Sulfur 9ch";"HEPAR SULFUR*9CH 80GR 4G"
"045797180";"CALCAREA FLUORICA*30CH 80GR";"Calcarea fluorica 30ch granuli";"CALCAREA FLUORICA*30CH 80GR"
"045797887";"CALCAREA FLUORICA*30CH GL 1G";"Calcarea fluorica 30ch granuli";"CALCAREA FLUORICA*30CH GL 1G"
"045802117";"RHUS TOXICODENDRON*9CH 80GR";"Rhus toxicodendron 9ch multidose";"RHUS TOXICODENDRON*9CH 80GR"
"045842135";"SULFUR*9CH 80GR 4G";"Sulfur 9ch";"SULFUR*9CH 80GR 4G"
"046200022";"SALE DR SCHUSSLER N.1 CAFL*200";"Sale dr schussler n.9";"SALE DR SCHUSSLER N.1 CAFL*200"
"046213169";"SULFUR IODATUM*9CH 80GR 4G";"Sulfur 9ch";"SULFUR IODATUM*9CH 80GR 4G"
"046311027";"SALE DR SCHUSSLER N.10NASU*200";"Sale dr schussler n.9";
"046312029";"SALE DR SCHUSSLER N.11 SIL*200";"Sale dr schussler n.9";
"046313021";"SALE DR SCHUSSLER N.2 CAPH*200";"Sale dr schussler n.9";
"046315026";"SALE DR SCHUSSLER N.9 NAPH*200";"Sale dr schussler n.9";
"046316028";"SALE DR SCHUSSLER N.3 FEPH 200";"Sale dr schussler n.9";"SALE DR SCHUSSLER N.3 FEPH*200"
"046317020";"SALE DR SCHUSSLER N.4 KACH*200";"Sale dr schussler n.9";
"046318022";"SALE DR SCHUSSLER N.7 MAPH 200";"Sale dr schussler n.9";"SALE DR SCHUSSLER N.7 MAPH*200"
"046319024";"SALE DR SCHUSSLER N.6 KASU 200";"Sale dr schussler n.9";"SALE DR SCHUSSLER N.6 KASU*200"
"046320026";"SALE DR SCHUSSLER N.5 KAPH 200";"Sale dr schussler n.9";"SALE DR SCHUSSLER N.5 KAPH*200"
"046321028";"SALE DR SCHUSSLER N.8 NACH*200";"Sale dr schussler n.9";"SALE DR SCHUSSLER N.8 NACH*200"
"046367013";"DROSERA HOMACCORD OS  Gocce 30ML";"Drosera homaccord gocce";"DROSERA HOMACCORD*OS GTT 30ML"
"046392027";"SALE DR SCHUSSLER N.12CASU*200";"Sale dr schussler n.9";
"046427062";"BRYONIA BOI*7CH GR 4G";"Bryonia 7ch";"BRYONIA BOI*7CH GR 4G"
"046428064";"BRYONIA ALBA BOI*7CH GL 1G";"Bryonia 7ch";"BRYONIA ALBA BOI*7CH GL 1G"
"046514016";"TORMENTILLA HEEL*50CPR";"Tormentilla heel";"TORMENTILLA HEEL*50CPR"
"046596084";"DATURA STRAMONIUM*06LM PL 20F";"Datura";"DATURA STRAMONIUM*06LM PL 20F"
"046596096";"DATURA STRAMONIUM 018LM PL 20F";"Datura";"DATURA STRAMONIUM*018LM PL 20F"
"046596108";"DATURA STRAMONIUM*030LM PL 20F";"Datura";"DATURA STRAMONIUM*030LM PL 20F"
"046701064";"AESCULUS HIPPOCASTANUM*MCH GR";"Aesculus hippocastanum 9ch";"AESCULUS HIPPOCASTANUM*MCH GR"
"046782037";"RHUS TOXICODENDRON*9CH 70GR";"Rhus toxicodendron 9ch multidose";"RHUS TOXICODENDRON*9CH 70GR"
"046797015";"ANTI CD 44*06LM PL 20F 2ML";"Anti cd 44 fiale oti";"ANTI CD 44*06LM PL 20F 2ML"
"046797027";"ANTI CD 44 018LM PL 20F 2ML";"Anti cd 44 fiale oti";"ANTI CD 44*018LM PL 20F 2ML"
"046797039";"ANTI CD 44 030LM PL 20F 2ML";"Anti cd 44 fiale oti";"ANTI CD 44*030LM PL 20F 2ML"
"046804023";"SULFUR IODATUM*9CH 70GR 3,5G";"Sulfur 9ch";"SULFUR IODATUM*9CH 70GR 3,5G"
"047365073";"SULFUR BOI*9CH GR 4G";"Sulfur 9ch";"SULFUR BOI*9CH GR 4G"
"047366048";"SULFUR BOI 9CH GL 1G";"Sulfur 9ch";"SULFUR BOI*9CH GL 1G"
"047367089";"KALIUM SULFUR BOI*9CH GR 4G";"Sulfur 9ch";"KALIUM SULFUR BOI*9CH GR 4G"
"047369083";"SULFUR IODAT BOI*9CH GR 4G";"Sulfur 9ch";"SULFUR IODAT BOI*9CH GR 4G"
"047369499";"SULFUR IODAT BOI 9CH GL 1G";"Sulfur 9ch";"SULFUR IODAT BOI*9CH GL 1G"
"047578012";"GUNA T3*D11 OS GTT 30ML";"Guna t3 d11 gocce";"GUNA T3*D11 OS GTT 30ML"
"047595018";"SENECTUS M OS  Gocce 30ML";"Senectus";"SENECTUS M*OS GTT 30ML"
"047609019";"SIN 24*OS GTT 50ML";"Sin 24 gocce";"SIN 24*OS GTT 50ML"
"047643135";"BRYONIA ALBA DYN 7CH GR";"Bryonia 7ch";"BRYONIA ALBA DYN*7CH GR"
"047643743";"BRYONIA ALBA DYN*7CH GL";"Bryonia 7ch";"BRYONIA ALBA DYN*7CH GL"
"047644531";"BRYONIA ALBA DYN 7CH 10ML";"Bryonia 7ch";"BRYONIA ALBA DYN*7CH 10ML"
"047667011";"GUNA SEROTONIN*D11 OS GTT 30ML";"Guna serotonin";"GUNA SEROTONIN*D11 OS GTT 30ML"
"047748759";"RHUS TOX DYN*9CH GL";"Rhus toxicodendron 9ch";"RHUS TOX DYN*9CH GL"
"047749534";"RHUS TOX DYN*9CH 10ML";"Rhus toxicodendron 9ch";"RHUS TOX DYN*9CH 10ML"
"047794096";"CALCAREA FLUORICA*30CH 80GR";"Calcarea fluorica 30ch granuli";"CALCAREA FLUORICA*30CH 80GR"
"047826161";"SULFUR DYN 9CH GR";"Sulfur 9ch";"SULFUR DYN*9CH GR"
"047828633";"SULFUR DYN 9CH GL";"Sulfur 9ch";"SULFUR DYN*9CH GL"
"047831514";"SULFUR DYN*9CH 10ML";"Sulfur 9ch";"SULFUR DYN*9CH 10ML"
"047846148";"HEPAR SULFUR DYN 9CH GR";"Sulfur 9ch";"HEPAR SULFUR DYN*9CH GR"
"047846605";"HEPAR SULFUR DYN 9CH GL";"Sulfur 9ch";"HEPAR SULFUR DYN*9CH GL"
"047847328";"HEPAR SULFUR DYN*9CH 10ML";"Sulfur 9ch";"HEPAR SULFUR DYN*9CH 10ML"
"047847936";"HEPAR SULFUR DYN*9CH 20ML";"Sulfur 9ch";"HEPAR SULFUR DYN*9CH 20ML"
"048114161";"CALCIUM SULFUR DYN*9CH GR";"Sulfur 9ch";
"048287458";"HEPAR SULFUR BOI*9CH GR 4G";"Sulfur 9ch";"HEPAR SULFUR BOI*9CH GR 4G"
"048510150";"SULFUR IODATUM DYN 9CH GR";"Sulfur 9ch";"SULFUR IODATUM DYN*9CH GR"
"048510491";"SULFUR IODATUM DYN*9CH GL";"Sulfur 9ch";"SULFUR IODATUM DYN*9CH GL"
"048511214";"SULFUR IODATUM DYN*9CH 10ML";"Sulfur 9ch";"SULFUR IODATUM DYN*9CH 10ML"
"048511784";"SULFUR IODATUM DYN*9CH 20ML";"Sulfur 9ch";"SULFUR IODATUM DYN*9CH 20ML"
"048545014";"GUNA BDNF*C4 OS GTT 30ML";"Guna bdnf 30ml";"GUNA BDNF*C4 OS GTT 30ML"
"048601013";"GUNA NGF C4 OS  Gocce 30ML";"Guna ngf";"GUNA NGF*C4 OS GTT 30ML"
"048698171";"HISTAMINUM*15CH 80GR 4G";"Hering histaminum 15ch";"HISTAMINUM*15CH 80GR 4G"
"048792156";"NATRIUM SULFUR DYN*9CH GR";"Sulfur 9ch";"NATRIUM SULFUR DYN*9CH GR"
"048888010";"GUNA TNF*C4 OS GTT 30ML";"Guna tnf";
"048901019";"GUNA INTERLEUKIN 10 C4  Gocce30ML";"Interleukin 10";"GUNA INTERLEUKIN 10*C4 GTT30ML"
"048981169";"AESCULUS HIPPOC*9CH 80GR 4G";"Aesculus hippocastanum 9ch";"AESCULUS HIPPOC*9CH 80GR 4G"
