sku,nome,click7,pos,stock,domanda_glob,vend_rete_30g,rete_90g,categoria_traffico
972532232,CERAMOL FLUIDO BETA COMPLEX,78,2,9,0.00,1.00,si,DOMANDA_VIVA
946449954,NATURAL VITA D3 100PRL,27,1,3,0.00,1.00,si,DOMANDA_VIVA
984599769,ALTRAPELLE MEDICAL MICOSI PIED,21,1,5,0.00,0,si,GIA_POSIZIONATO_top5
950938959,LFP DAILYP AMINO ESS 18BUST,19,4,23,0.00,0,si,GIA_POSIZIONATO_top5
987401243,DT OIL CONTROL SHAMPOO 200ML,19,3,77,14.00,2.00,si,DOMANDA_VIVA
989408467,CERAMOL LOTION DS 50ML,16,2,5,0.00,0,si,GIA_POSIZIONATO_top5
935810960,VAGISIL INTIMA GEL IDRAT MONOD,16,2,4,1.00,4.00,si,DOMANDA_VIVA
976293783,DERMOVITAMINA MICO TRATTA/COL,15,4,17,0.00,1.00,si,DOMANDA_VIVA
935590974,POLIDENT LUNGA TENUTA 70G,15,3,133,23.00,12.00,si,DOMANDA_VIVA
903627228,GIBAUD ORTHO TUTORE SPALLA,14,1,14,0.00,0,si,GIA_POSIZIONATO_top5
943295067,MASSIGEN PAPPA REALE 10FL 25ML,13,2,8,0.00,8.00,si,DOMANDA_VIVA
931152742,OMEGA3 VITI TRIPLA AZIONE60PRL,12,3,41,12.00,11.00,si,DOMANDA_VIVA
976206262,CERAMOL MB 30 50ML,11,1,4,0.00,0,si,GIA_POSIZIONATO_top5
026725034,REGAINE*SOLUZ 60ML 5%,11,11,0,0.00,6.00,si,DOMANDA_VIVA
930530682,DERMAFRESH ODOR CONTROL CREMA,11,1,3,0.00,8.00,si,DOMANDA_VIVA
983361635,GIBAUD ORTHO RHIZOGIB ORT SX 2,11,9,4,0.00,0,no,MAGAZZINO_senza_domanda
047883032,DICLOFENAC TEVA*GEL 60G 10MG/G,10,1,13,0.00,0,si,GIA_POSIZIONATO_top5
949645396,DR VITI DRENANTE ANANAS 500ML,10,2,6,0.00,0,si,GIA_POSIZIONATO_top5
931925109,ELMEX SENSITIVE PROF 75ML,10,2,17,33.00,23.00,si,DOMANDA_VIVA
029851084,"MOVICOL*CIOCCOL BB 20BUST 6,9G",10,1,0,0.00,5.00,si,DOMANDA_VIVA
982476285,LACDIGEST LACTOFREE 30CPR,10,8,4,92.00,41.00,si,DOMANDA_VIVA
