sku,nome,click7,spesa7,qty7,rev7,marg7,inc_fatt_pct,categoria,is_civetta,pos,stock
951309917,SCHOLL PENNA RIMOZIONE CALLI,84,27.67,0,0.00,0.00,,0-vendite,t,1,4
951384003,POLASE SUPERMAG3 18STICK 2G,38,12.52,0,0.00,0.00,,0-vendite,t,1,4
973472943,MICROLIFE AFIB ADVANCED EASY,27,8.89,0,0.00,0.00,,0-vendite,t,3,0
987411790,RILASTIL ULTRA 100 PROT COLOR,27,8.89,0,0.00,0.00,,0-vendite,t,1,28
951100686,CERAVE INTENSIVE MOIS CR 340G,27,8.89,1.00,12.72,1.57,70,inc-marg>100,t,3,4
942828765,MGK VIS JUNIOR ARANCIA 10BUST,25,8.24,0,0.00,0.00,,0-vendite,t,1,1
988927366,VITAMINDERMINA POLVERE SPRAY,24,7.91,0,0.00,0.00,,0-vendite,f,19,0
987411853,MELA B3 GEL DET VISO 200ML,22,7.25,0,0.00,0.00,,0-vendite,t,2,1
949645360,DR VITI DRENANTE ANANAS28STICK,22,7.25,0,0.00,0.00,,0-vendite,t,2,0
950838223,SUPRADYN EXPERT MAGNESIO 60CPS,18,5.93,0,0.00,0.00,,0-vendite,t,1,11
989666298,ZZZQUIL SONNO TUTTA NOTTE28CPR,17,5.60,0,0.00,0.00,,0-vendite,t,4,10
949645307,MASSIGEN PRONTO RECUP S/Z18BUS,17,5.60,4.00,17.80,4.03,31,inc-marg>100,t,2,2
987247689,ONLIGOL FIBRE PRUGNA 20BUST,17,5.60,0,0.00,0.00,,0-vendite,t,3,3
987403805,PARANIX SHAMPOO TRATT TP 200ML,16,5.27,0,0.00,0.00,,0-vendite,t,3,7
931577288,AVENE SOL LATTE SCHER SPF50+,15,4.94,0,0.00,0.00,,0-vendite,t,1,2
978314730,EUMILL DRYREPAIR GOCCE OCULARI,15,4.94,1.00,6.29,1.07,79,inc-marg>100,t,2,40
951384015,POLASE SUPERMAG3 BAR 120G,15,4.94,0,0.00,0.00,,0-vendite,t,1,6
904452962,ARMOLIPID 30CPR,15,4.94,2.00,25.48,3.85,19,inc-marg>100,t,1,2
976293783,DERMOVITAMINA MICO TRATTA/COL,15,4.94,0,0.00,0.00,,0-vendite,f,4,12
950049142,DERMOVITAMINA FILM GEL NW100ML,14,4.61,0,0.00,0.00,,0-vendite,t,4,2
926647241,BOROX 50ML,14,4.61,0,0.00,0.00,,0-vendite,t,1,0
921232688,PESCURA HEEL ORIG BYCAST SAB41,14,4.61,0,0.00,0.00,,0-vendite,t,1,0
932818279,VITAMINDERMINA POLV SETA 100G,14,4.61,0,0.00,0.00,,0-vendite,t,1,4
980450439,TOPIALYSE PALPEBRAL CREMA 15ML,14,4.61,0,0.00,0.00,,0-vendite,t,1,6
983039963,AVENE SOL FLUIDO SPF50+ S/PROF,13,4.28,0,0.00,0.00,,0-vendite,t,2,4
990404687,NUXE HAIR SKIN MIST SENS SHIMM,13,4.28,0,0.00,0.00,,0-vendite,f,99,0
990407811,GOLD COLLAGEN FORTE LIQ10STICK,13,4.28,0,0.00,0.00,,0-vendite,t,1,10
949897882,PRONTEX BRACCIALE COMFORT,13,4.28,1.00,10.72,2.06,40,inc-marg>100,t,1,0
971635925,DULCOSOFT SOL ORALE 250ML,12,3.95,0,0.00,0.00,,0-vendite,f,14,21
975995743,AUDISPRAY ULTRA SPRAY 20ML,12,3.95,0,0.00,0.00,,0-vendite,t,1,8
987867431,ZREEN MAGNESIO GLICINATO120CPS,12,3.95,0,0.00,0.00,,0-vendite,t,4,0
951450701,LONGLIFE CREATINA 750MG 60CPS,12,3.95,1.00,14.07,2.86,28,inc-marg>100,t,1,0
989367204,VITAMINDERMINA POLVERE MENT VF,12,3.95,0,0.00,0.00,,0-vendite,t,1,0
987842198,SENSINOL SHAMPOO 200ML DUCRAY,12,3.95,1.00,11.68,2.76,34,inc-marg>100,f,17,8
987718766,ORALB POWER ORAL CENTER MD20,12,3.95,0,0.00,0.00,,0-vendite,t,4,3
903187449,ESTROMINERAL 40CPR,12,3.95,4.00,66.40,-5.52,6,inc-marg>100,f,14,0
971534730,ENTEROFILUS FIALE 36X10ML,11,3.62,0,0.00,0.00,,0-vendite,t,1,0
983374632,PHOTODERM GEL CREME APRES500ML,11,3.62,2.00,23.10,3.60,16,inc-marg>100,t,1,1
987400886,ANTHELIOS POST UV EXPOSUR400ML,11,3.62,0,0.00,0.00,,0-vendite,t,3,14
981974367,BIOKILL PIRETRO NATURALE 375ML,11,3.62,1.00,14.92,2.24,24,inc-marg>100,t,2,0
941166757,VENAFLUX VITI 30CPR,11,3.62,0,0.00,0.00,,0-vendite,t,1,0
938810963,GINEPRO NERO PROFUMO 50ML,11,3.62,0,0.00,0.00,,0-vendite,f,16,2
950017400,AUTAN DEFENSE BIMBO 100ML,11,3.62,0,0.00,0.00,,0-vendite,t,5,6
984819894,NEURODOL ACIDO LIPOICO 30CPR,10,3.29,0,0.00,0.00,,0-vendite,f,3,0
935204255,DERMOVITAMINA PROCTOC CREMA,10,3.29,0,0.00,0.00,,0-vendite,f,23,5
924876838,NUXE SUN OLIO SOL VI/CRP SPF10,10,3.29,1.00,15.98,2.20,21,inc-marg>100,t,2,2
951862972,URYVET EVO 1500 32CPR,10,3.29,0,0.00,0.00,,0-vendite,t,1,0
977368253,DERMOVITAMINA FILM SPR 30ML,10,3.29,0,0.00,0.00,,0-vendite,f,19,4
922318338,FORTIMEL POWDER NEUTRO 335G,10,3.29,0,0.00,0.00,,0-vendite,t,2,0
941166769,VENAFLUX VITI CREMA GEL 150ML,10,3.29,0,0.00,0.00,,0-vendite,f,99,0
984746103,COGNIZANT 10FL 10ML,10,3.29,0,0.00,0.00,,0-vendite,t,4,0
981475674,CERAVE ACNE PURIFYING FOAM GEL,10,3.29,2.00,19.96,2.47,16,inc-marg>100,f,9,4
949645295,MASSIGEN PRONTO RECUP18BUST 25,10,3.29,3.00,12.69,3.07,26,inc-marg>100,t,1,47
951870310,POLASE SPORT POWDER REG 10BUST,9,2.96,2.00,17.84,1.91,17,inc-marg>100,t,16,19
975040522,COBAXIL B12 1000MCG 5CPR SUNBL,9,2.96,0,0.00,0.00,,0-vendite,t,1,0
950837195,KIJIMEA K53 ADVANCE 10CPS,9,2.96,1.00,13.84,1.93,21,inc-marg>100,t,1,0
989022811,AMPOULE A 30ML,9,2.96,0,0.00,0.00,,0-vendite,f,7,3
951149968,AXIGAB 90CPR,9,2.96,0,0.00,0.00,,0-vendite,t,1,0
921232450,PESCURA FLAT ORIG BYCAST SAB43,9,2.96,0,0.00,0.00,,0-vendite,t,1,0
978868038,CONNETTIVINASOLE SPRAY 50ML,9,2.96,0,0.00,0.00,,0-vendite,t,4,0
989332844,AVENE SOL LATTE SPF 50 100ML,9,2.96,0,0.00,0.00,,0-vendite,f,12,2
989983299,CERAVE CREMA IDRATANTE REFILL,9,2.96,0,0.00,0.00,,0-vendite,t,4,4
950222556,VITREONORM TASK 20STICK,9,2.96,0,0.00,0.00,,0-vendite,t,1,0
987437213,POLASE PLUS 24BUST PROMO,9,2.96,0,0.00,0.00,,0-vendite,f,34,24
