sku,nome,click7,spesa7,qty7,fatturato7,margine7,inc_fatt_pct,inc_marg_pct,pareto,pos
905338051,FORTILASE 20CPR,58,19.11,3.00,26.16,21.57,73,89,PARETO,1
987650557,BETOTAL ADVANCE B12 30FL,41,13.51,9.00,212.75,27.49,6,49,PARETO,8
952052898,KALANIT DOL LIMONE 14BUST,40,13.18,11.00,284.74,49.17,5,27,PARETO,2
988925487,YOVIS STICK 20STICK,32,10.54,6.00,83.16,12.50,13,84,PARETO,4
977176205,PERICLIM FORTE 60STICK,31,10.21,2.00,48.36,10.34,21,99,PARETO,1
951507817,POLASE PLUS CARNITINA PRO36BUS,30,9.88,4.00,59.24,59.24,17,17,PARETO,99
934416619,DICOFLOR ELLE 28CPS,29,9.55,15.00,298.99,65.00,3,15,PARETO,1
930960113,BETOTAL BODY PLUS 20BUST,28,9.22,8.00,80.80,16.13,11,57,PARETO,4
951100686,CERAVE INTENSIVE MOIS CR 340G,27,8.89,1.00,12.72,1.57,70,567,"",4
983191370,DELTACRIN PRP PHARCOS 6X15ML,25,8.24,1.00,55.90,8.02,15,103,PARETO,2
951998968,DICOELLE REPAIR 10OV,25,8.24,6.00,106.30,23.64,8,35,PARETO,1
904104193,SIDERAL 20CPS,23,7.58,6.00,107.16,12.42,7,61,PARETO,28
944940853,DINAMIC PLUS 30CPS MOLLI,22,7.25,16.00,259.56,32.00,3,23,PARETO,4
941013916,IRIDINA HYDRA REPAIR GTT OCUL,22,7.25,9.00,62.88,17.16,12,42,PARETO,2
950150565,"BIOSCALIN MENOPAUSA 16FX3,5ML",19,6.26,5.00,247.20,36.84,3,17,PARETO,1
971268949,ATODERM HUILE DE DOUCHE 1L,18,5.93,9.00,110.73,13.78,5,43,PARETO,8
921232649,PESCURA HEEL ORIG BYCAST SAB37,17,5.60,1.00,48.58,10.60,12,53,PARETO,1
949645307,MASSIGEN PRONTO RECUP S/Z18BUS,17,5.60,4.00,17.80,4.03,31,139,PARETO,1
989332794,AVENE SOL LATTE SPF 50 250ML,15,4.94,5.00,62.49,8.09,8,61,PARETO,8
978314730,EUMILL DRYREPAIR GOCCE OCULARI,15,4.94,1.00,6.29,1.07,79,463,PARETO,99
987757667,LIPEDESIN 30BUST,15,4.94,4.00,122.80,20.44,4,24,PARETO,2
984734590,AVENE HYALURON A B3 CREMA NTT,15,4.94,1.00,25.44,6.95,19,71,PARETO,37
904452962,ARMOLIPID 30CPR,15,4.94,2.00,25.48,3.85,19,128,PARETO,1
984734576,AVENE HYALURON A B3 SIERO 30ML,14,4.61,1.00,26.04,6.40,18,72,PARETO,1
