tenant,sku,nome,click7,spesa7,pos,stock,vend_rete_15g,carrello90,azione
Farmacia Mandanici,978115804,LAEVOLAC FIBRE 100CPR,15,4.94,99,3,0,0,VALUTA_taglio
Farmacia Mandanici,927140689,ELMEX PROTEZIONE CARIE PROFESS,10,3.29,99,7,5.00,36,SPINGI_vende_rete15g
Farmacia Mandanici,922925767,OTOSAN GOCCE AURIC BIO 10ML,9,2.96,99,2,0,0,VALUTA_taglio
Farmacia Mandanici,940049974,PROCTOLYN NATURA CREMA 30ML,7,2.31,99,7,6.00,11,SPINGI_vende_rete15g
Farmacia Mandanici,951384003,POLASE SUPERMAG3 18STICK 2G,7,2.31,99,5,9.00,0,SPINGI_vende_rete15g
Farmacia Mandanici,989367204,VITAMINDERMINA POLVERE MENT VF,7,2.31,99,0,1.00,0,SPINGI_vende_rete15g
Farmacia Mandanici,989303615,ORALB FILO PROEXP PUL PROF 50M,4,1.32,99,1,0,0,VALUTA_taglio
Farmacia Mandanici,900582495,"SIRINGA BD Insulina 0,3ml Demi 30g",4,1.32,99,0,0,0,VALUTA_taglio
Farmacia Mandanici,988927366,VITAMINDERMINA POLVERE SPRAY,4,1.32,99,1,5.00,0,SPINGI_vende_rete15g
Farmacia Mandanici,904734643,RINOWASH KIT AZZ CAMPANA UNIV,4,1.32,99,3,3.00,19,SPINGI_vende_rete15g
Farmacia Mandanici,950837195,KIJIMEA K53 ADVANCE 10CPS,4,1.32,99,0,1.00,0,SPINGI_vende_rete15g
Farmacia Mandanici,951035753,MAVOSTEN MAGNESIO 120CPS,3,0.99,99,0,0,0,VALUTA_taglio
Farmacia Mandanici,989633831,ANTHELIOS FLUIDO UVAIR SPF50+,3,0.99,99,5,0,0,VALUTA_taglio
Farmacia Mandanici,948172388,LONGLIFE NICOTINAMIDE RIB30CPS,3,0.99,99,0,2.00,80,SPINGI_vende_rete15g
Farmacia Mandanici,950612301,CORTISOL STOP 60CPS,3,0.99,99,0,0,0,VALUTA_taglio
Farmacia Mandanici,926575465,POLICALM CREMA 400ML,3,0.99,99,0,3.00,0,SPINGI_vende_rete15g
Farmacia Mandanici,972071068,LIPIKAR LATTE 400ML,3,0.99,99,3,0,0,VALUTA_taglio
Farmacia Mandanici,987025665,PIC EASY WASH PERA CAN 224ML,3,0.99,99,0,0,0,VALUTA_taglio
Farmacia Mandanici,980254508,FITOSTIMOLINE PLUS GARZA 10X10,3,0.99,99,10,2.00,0,SPINGI_vende_rete15g
Farmacia Mandanici,987838810,STEPPER DIG ORTOP POSTOP AV S,3,0.99,99,0,1.00,0,SPINGI_vende_rete15g
Farmacia Mandanici,032148037,"DACRIOGEL*GEL TUBO 10G 0,3%",3,0.99,99,0,0,0,VALUTA_taglio
Farmacia Mandanici,926022904,IAP PHARMA 23 DONNA 150ML,3,0.99,99,1,0,2,CARRELLO
Farmacia Mandanici,978255242,EMOFLON POMATA RETTALE 25G,3,0.99,99,12,2.00,12,SPINGI_vende_rete15g
Farmacia Mandanici,909089031,ACQUA SIRMIONE MIN NAT 6F 15ML,3,0.99,99,34,7.00,22,SPINGI_vende_rete15g
Farmacia Mandanici,983768591,VERALAB VERAPUMP SIERO CIGLIA,3,0.99,99,1,0,23,CARRELLO
Farmacia Mandanici,931988380,CER MEDS FPORE 6X9CM 5PZ,3,0.99,99,50,0,0,VALUTA_taglio
Farmacia Mandanici,949862407,NEDEMAX 60CPR,2,0.66,99,0,1.00,0,SPINGI_vende_rete15g
Farmacia Mandanici,980126623,HYDROXIRAM 30BUST,2,0.66,99,0,7.00,0,SPINGI_vende_rete15g
Farmacia Mandanici,947423707,LONGLIFE BERBERIN+ 60TAV RIVES,2,0.66,99,0,2.00,0,SPINGI_vende_rete15g
Farmacia Mandanici,940562895,DERMAFRESH 96H ODOR CONTR150ML,2,0.66,99,3,0,0,VALUTA_taglio
Farmacia Mandanici,944282324,SAUGELLA INTIMO&CORPO 500ML,2,0.66,99,8,5.00,0,SPINGI_vende_rete15g
Farmacia Mandanici,921773836,SOFARGEN SPRAY MEDIC POLV125ML,2,0.66,99,20,3.00,19,SPINGI_vende_rete15g
Farmacia Mandanici,933953578,CORTIPET 50ML,2,0.66,99,1,1.00,0,SPINGI_vende_rete15g
Farmacia Mandanici,934296753,HAUSCHKA CURA BELLEZ NOTTE 50F<,2,0.66,99,0,0,16,CARRELLO
Farmacia Mandanici,977676117,BRUDYMACULA 60CPS,2,0.66,99,0,1.00,0,SPINGI_vende_rete15g
Farmacia Mandanici,974380394,REV DERMOGEL 250ML,2,0.66,99,0,0,0,VALUTA_taglio
Farmacia Mandanici,947244618,CAROBIN PET FORTE 30CPR,2,0.66,99,0,4.00,0,SPINGI_vende_rete15g
Farmacia Mandanici,940742911,DERMOVITAMINA RAGADI NA/LA VAS,2,0.66,99,2,0,0,VALUTA_taglio
Farmacia Mandanici,988771489,MICRONIL DOL 60CPR,2,0.66,99,0,3.00,0,SPINGI_vende_rete15g
Farmacia Mandanici,975896440,GIBAUD ORTHO DORSOLOMBOGIB 4,2,0.66,99,0,1.00,0,SPINGI_vende_rete15g
Farmacia Mandanici,934758665,EOSKIN 30ML,2,0.66,99,1,0,0,VALUTA_taglio
Farmacia Mandanici,975454986,CONNETTIVINASILVER PLUS SPRAY,2,0.66,99,2,4.00,0,SPINGI_vende_rete15g
Farmacia Mandanici,949897882,PRONTEX BRACCIALE COMFORT,2,0.66,99,0,2.00,0,SPINGI_vende_rete15g
Farmacia Mandanici,985823780,IALUSET SUN SCOTTATURE/IRR SOL,2,0.66,99,4,0,0,VALUTA_taglio
Farmacia Mandanici,985520838,VITGASE FORTE 18BUST,2,0.66,99,0,24.00,14,SPINGI_vende_rete15g
Farmacia Mandanici,924451913,MELATONINA ACT +VAL+FT5C 60CPR,2,0.66,99,21,9.00,12,SPINGI_vende_rete15g
Farmacia Mandanici,934851421,OVARIC HP 30BUST,2,0.66,99,0,1.00,0,SPINGI_vende_rete15g
Farmacia Mandanici,984781272,OTOSCUDO PELLICOLA AURICOLARE,2,0.66,99,0,1.00,0,SPINGI_vende_rete15g
Farmacia Mandanici,908030505,ALCOOL ETILICO Puro 96% 100ml Alco,2,0.66,99,0,0,0,VALUTA_taglio
Farmacia Mandanici,984733562,MONURELLE PLUS AF 15CPS,2,0.66,99,9,2.00,29,SPINGI_vende_rete15g
Farmacia Mandanici,952119980,ORALB REFILL STITCH 3PZ,2,0.66,99,2,0,0,VALUTA_taglio
Farmacia Mandanici,028523013,METRONIDAZOLO SAME*GEL 30G 1%,2,0.66,99,2,2.00,9,SPINGI_vende_rete15g
Farmacia Mandanici,984146047,POLASE HYDRATION LAMPONE12BUST,2,0.66,99,1,0,0,VALUTA_taglio
Farmacia Mandanici,990312961,MULTICENTRUM U50+ 30CPR PROM26,2,0.66,99,2,0,0,VALUTA_taglio
Farmacia Mandanici,941079042,ARTIKRILL DOL CANE 60PRL,2,0.66,99,0,15.00,9,SPINGI_vende_rete15g
Farmacia Mandanici,926828409,ADAPTIL CALM COLLARE S,2,0.66,99,0,0,0,VALUTA_taglio
Farmacia Mandanici,909164461,SCHOLL CER CALLIF CALLI DU 8PZ,2,0.66,99,0,0,0,CARRELLO
Farmacia Mandanici,983801667,ZYMEREX GONFIORE FLUID AN15BUS,2,0.66,99,0,3.00,0,SPINGI_vende_rete15g
Farmacia Mandanici,921232664,PESCURA HEEL ORIG BYCAST SAB39,2,0.66,99,0,1.00,0,SPINGI_vende_rete15g
Farmacia Mandanici,951094426,MOVIGO 20BUST,2,0.66,99,11,5.00,0,SPINGI_vende_rete15g
Farmacia Mandanici,938810963,GINEPRO NERO PROFUMO 50ML,2,0.66,99,0,0,0,VALUTA_taglio
Farmacia Mandanici,989820105,DENTALPRO REMINERAL SMALT30CPR,2,0.66,99,1,0,4,CARRELLO
Farmacia Mandanici,908043250,AMUCHINA 100% 500ML,2,0.66,99,4,1.00,12,SPINGI_vende_rete15g
Farmacia Mandanici,989404684,LIPIKAR GEL UREA 30%,2,0.66,99,2,1.00,0,SPINGI_vende_rete15g
Farmacia Mandanici,040932079,SOLMUCOL MUCOLITICO*30CPR600MG,2,0.66,99,5,0,14,CARRELLO
Farmacia Mandanici,982596328,ZYMEREX GONFIORE PLUS 20CPR,2,0.66,99,10,11.00,13,SPINGI_vende_rete15g
Farmacia Mandanici,906496928,PROXEED NF 20BUST,2,0.66,99,0,0,0,VALUTA_taglio
Farmacia Mandanici,940089802,PRODIV 20BUST,1,0.33,99,1,0,0,VALUTA_taglio
Farmacia Mandanici,972264636,BLEFASTOP GARZA COT PIE RX 28P,1,0.33,99,0,0,0,VALUTA_taglio
