SELECT 9760
CREATE INDEX
SELECT 50720
CREATE INDEX
tenant,sku,nome_prod,clicks30,costo30_eur,erp_stock,supplier_stock,pos,costo,prezzo
Farmainsieme,930530631,DERMAFRESH PELLI SENSIBILI LATTE 100 ML - 930530631 - bellezza-e-cosmesi/corpo/deodoranti,29,9.55,2,0,1,4.79,6.20
Farmainsieme,989018407,Diffusore con bacchette + refil tulipano - 989018407 - prodotti-per-la-casa,19,6.26,8,0,3,9.09,11.09
Farmainsieme,977545603,FITONASAL BIOPOMATA 10ML - 977545603 - farmaci-da-banco/febbre/influenza-e-raffreddore,15,4.94,3,175,4,7.77,9.17
Farmainsieme,951141504,Multicentrum age science antiossidante cellulare 30 capsule - 951141504 - alimentazione/sport/aminoacidi-e-proteine,14,4.61,4,51,7,13.37,15.36
Farmainsieme,943331239,Fotoprotector gel cream pediatrics 50+ 250 ml - 943331239 - bellezza-e-cosmesi/prodotti-solari/solari-bimbo,13,4.28,3,79,2,15.54,21.19
Farmainsieme,983039963,Avene sol fluido spf50+ s/prof - 983039963 - bellezza-e-cosmesi/prodotti-solari/solari-viso-e-labbra,13,4.28,1,50,3,9.52,11.00
Farmainsieme,988206049,SCHOLL'S Mango printed suede w navy blue 38 - 988206049 - integratori/integratori-alimentari/gravidanza-e-allattamento,11,3.62,0,50,2,45.37,50.81
Farmainsieme,949842544,Gyno-canescystil cistipro 14 bustine - 949842544 - integratori/integratori-alimentari/apparato-uro-genitale,11,3.62,14,186,5,9.41,10.79
Farmainsieme,988948749,VITRY Trattamento riparatore pro diamant 10 ml - 988948749 - bellezza-e-cosmesi/mani-e-unghie/manicure,10,3.29,9,0,,11.71,14.29
Farmainsieme,987419532,Ymea vamp control 64 capsule promo 25% - 987419532 - integratori/integratori-alimentari/menopausa,10,3.29,3,0,3,13.17,19.70
Farmainsieme,924870544,"Cerotto in rocchetto transpore cm 2,5 x 5 mt dispenser 1 pezzo - 924870544 - farmaci-da-banco/cura-delle-ferite-e-medicazioni/cerotti",10,3.29,0,62,5,3.36,4.24
Farmainsieme,986699092,Somatoline skin expert 28stk - 986699092 - integratori,10,3.29,0,22,,24.24,20.73
Farmainsieme,975596166,SOMATOLINE LIFT somat c lift ef rass seno 75ml - 975596166 - bellezza-e-cosmesi,9,2.96,1,0,3,12.48,17.38
Farmainsieme,978868608,VITRY Trattamento riparatore sensitive pro expert 10 ml - 978868608 - bellezza-e-cosmesi/mani-e-unghie/smalti,8,2.64,3,0,,8.63,10.52
Farmainsieme,986956629,FARMADERBE Phyto col barriera 20 compresse - 986956629 - integratori/integratori-alimentari/fermenti-lattici,7,2.31,0,5,1,10.51,11.50
Farmainsieme,949878324,Cer'8 braccialetto diffusore - 949878324 - farmaci-da-banco/altri-disturbi/antizanzare-e-antimeduse,7,2.31,13,0,5,2.81,3.62
Farmainsieme,943285268,PESOFORMA BISCOTTI LAMPONE/MELA 8 PASTI 16 BISCOTTI - 943285268 - alimentazione,6,1.98,0,12,4,9.91,7.70
Farmainsieme,951999390,Senectina flacone 90 g - 951999390 - prodotti-veterinari/alimentazione,6,1.98,0,50,2,24.92,29.24
Farmainsieme,949878262,VALETUDO Alyval touch gel intimo 30 ml - 949878262 - bellezza-e-cosmesi/corpo/igiene-intima,6,1.98,0,18,5,12.88,14.84
Farmainsieme,951215425,Avene Eau thermale avene solare autoabbronzante idratante 100 ml - 951215425 - bellezza-e-cosmesi/prodotti-solari/solari-viso-e-labbra,6,1.98,8,50,6,8.41,9.80
Farmainsieme,009115039,FITOSTIMOLINE*10GARZE 15% - 009115039 - farmaci-da-banco/cura-delle-ferite-e-medicazioni/disinfettanti-e-cicatrizzanti,5,1.65,1,858,5,11.00,13.45
Farmainsieme,982475319,Serenity pants sd sensitive extra xl 14 pezzi - 982475319 - sanitaria-e-ortopedia/cura-dell-anziano/prodotti-per-l-incontinenza,5,1.65,0,10,,12.90,16.64
Farmainsieme,938657032,MULTICENTRUM DONNA 30 COMPRESSE - 938657032 - integratori/integratori-alimentari/vitamine-e-sali-minerali,5,1.65,1,200,,12.72,16.79
Farmainsieme,950026462,Ducray anaphase reactive shampoo 200 ml - 950026462 - bellezza-e-cosmesi/capeli/anticaduta,5,1.65,29,4,3,7.54,9.35
