minsan,prodotto,n_tenant,n_click,costo_click,vendite_rete_90gg
932720840,ENVICER3 GRASSA FORTE 100ML,6,6,1.98,0
972472841,DUALCOL 30CPR,5,5,1.65,4
942283336,BAMAK PLUS 18BUST,5,5,1.65,0
971064783,TRIAMAG B6 36CPR,5,5,1.65,0
951506043,STOMEK SOSPENSIONE 30STICK,5,5,1.65,0
977254147,EQUIMEL 40CPS,4,4,1.32,0
912255748,OTODINE DET LIQ 50ML,4,4,1.32,1
974988329,DOAFER 30CPS,4,4,1.32,1
975063239,CEROTTO SPRAY,4,4,1.32,1
950911560,ELIXIR MENOPAUSA 30CPR,4,4,1.32,0
986179517,DAONIX 60CPS,4,4,1.32,3
971260308,CLEARBLUE RILEVAZIONE PRECOCE,4,4,1.32,3
933009401,ROSACURE FAST CREMA 30ML,4,4,1.32,5
987025665,PIC EASY WASH PERA CAN 224ML,4,4,1.32,1
980296279,CANDIDAS T 180PAST,4,4,1.32,0
980287092,DEFENCE HAIR SHAMPOO RIDENSIF,4,4,1.32,0
981111925,MUSTELA DETERGENTE DEL 500ML,4,4,1.32,1
988770273,EARBUDDY ROSSO,4,4,1.32,0
950219562,APOVARY 20CPS,4,4,1.32,1
990078178,IDRORAL 45CPR MUCOADESIVE,4,4,1.32,0
981432560,VENEGOLD 30CPR,4,4,1.32,1
975448337,SCHAR SAVOIARDI 200G,4,4,1.32,0
986887471,SELFTEST HIV 1/2 SOFARMAPIU',4,4,1.32,0
987904695,KALOIDON GEL CICATRICI 30ML,4,4,1.32,0
927604518,FIOREGLUT FARINA DOLC+PANE+PIZ,4,4,1.32,0
950911558,ELIXIR MESTRUO 30CPR,4,4,1.32,1
909271025,VITAMINICO LIQUIDO 20ML,4,4,1.32,0
933015238,GUM ORTHO FLOSS FILO SPUGNOSO,4,4,1.32,1
973351947,ZINCOSEB SPRAY 200ML,4,4,1.32,0
913226015,SCHOLL CR TAL ACTIVE REPAIR K+,4,4,1.32,1
900762079,REV DERMOSCHIUMA 125ML,4,4,1.32,1
921034498,ALPECIN ENERGIZER TON DOPOSH,4,4,1.32,0
930957067,OMK1 SOLUZIONE OFT STER 10ML,4,4,1.32,10
935479244,COLEPAN FAST 20CPR,4,4,1.32,0
972260614,RIGEAVIT 30CPR,4,4,1.32,1
912323627,REVAMIL GEL 18G,4,4,1.32,0
972472854,DUALCOL FERMENTI 10CPS,4,4,1.32,0
943008437,EUTRIS PLUS 30CPR,4,4,1.32,3
983364415,MAGNESIO E POTASSIO POLV 360G,4,4,1.32,2
923590158,AQUACEL FOAM ADH 8X8CM 10PZ,4,4,1.32,1
987315811,SCREEN TEST CANDIDA SELFTEST1P,4,4,1.32,0
902229576,MERISTEMO 20 100ML,4,4,1.32,0
922399631,REV IDRAX EPI 50ML,4,4,1.32,2
931358802,ARL 20BUST,4,4,1.32,0
970283964,PROVISION PIERPAOLI 60CPR,4,4,1.32,1
907152882,VASODREN 30CPR FILMATE,4,4,1.32,8
943791160,RELAXIGEN PET MINI 20CPR,4,4,1.32,7
926876766,FLEBOMIX CREMA GEL 100ML,4,4,1.32,10
927287452,DRENA LEVEL 1 GTT 50ML,4,4,1.32,2
900427636,KIRON ARGEA ARGILLA 250ML,4,4,1.32,2
909923928,CONTENITORE UR 24H 50089,3,3,0.99,1
910071479,TOP PROSTATA 40CPS,3,3,0.99,4
913228096,CLEARBLUE INDICATORE SETT 1PZ,3,3,0.99,2
913838862,CARDIOQTEN 20CPR,3,3,0.99,1
921177642,ERMIDRA' SHAMPOO 250ML,3,3,0.99,1
921222612,REV IDRAX BOTU' 50ML,3,3,0.99,1
921319582,SYSTANE BALANCE GOCCE OCUL10ML,3,3,0.99,1
921788422,NUTRIVA GLICEVAL 30CPR,3,3,0.99,2
922764283,RETOPIX SPRAY CANE/GATTO 100ML,3,3,0.99,1
923360200,HYDRALEN LATTE DETERGENTE,3,3,0.99,2
923360364,NEVERTIN 15CPS,3,3,0.99,3
