tenant,minsan,prodotto,n_click,costo_click,erp_stock,supplier_stock,pos
Farmacia Mandanici,000367072,"TISANA KELEMATA*20BUST 1,3G",1,0.33,1,175,8
Farmacia Mandanici,004336107,SARIDON*20CPR,1,0.33,1,5000,6
Farmacia Mandanici,004558185,NEONISIDINA*12CPR,1,0.33,35,559,7
Farmacia Mandanici,005408024,"BRUNIZINA*GTT NAS 10ML 0,2%",1,0.33,0,214,1
Farmacia Mandanici,010386074,HIRUDOID 40000UI*GEL 50G,1,0.33,14,111,12
Farmacia Mandanici,013046077,ENTEROGERMINA*OS 10FL 4MLD 5ML,1,0.33,386,489,12
Farmacia Mandanici,013046089,ENTEROGERMINA*OS 20FL 4MLD 5ML,1,0.33,130,1133,11
Farmacia Mandanici,013046115,ENTEROGERMINA*OS 9BS 6MLD/2G,1,0.33,16,141,12
Farmacia Mandanici,020949020,"GUTTALAX*OS GTT 15ML 7,5MG/ML",1,0.33,0,229,2
Farmacia Mandanici,021115023,CTARD*60CPS 500MG RP FL,1,0.33,10,1622,5
Farmacia Mandanici,021528157,"TAMARINE*MARMEL260G 80+3,9MG/G",1,0.33,26,924,12
Farmacia Mandanici,023185059,LISOMUCIL TOSSE MUC*AD SCIR 5%,1,0.33,1,118,9
Farmacia Mandanici,023603018,PEVARYL*CREMA 30G 1%,1,0.33,1,1842,15
Farmacia Mandanici,024851026,VISUGLICAN*COLL 25D 40+2MG/ML,1,0.33,0,254,1
Farmacia Mandanici,025647037,TROSYD*POLV CUT 30G 1%,1,0.33,3,523,12
Farmacia Mandanici,025774011,"DERMOCORTAL*CREMA 20G 0,5%",1,0.33,5,100,6
Farmacia Mandanici,026725034,REGAINE*SOLUZ 60ML 5%,1,0.33,0,110,5
Farmacia Mandanici,026752079,LEVOTUSS*SCIR 10BUST 60MG/10ML,1,0.33,0,292,3
Farmacia Mandanici,026814158,"PORTOLAC*SCIR FL 200ML 66,67G",1,0.33,4,217,1
Farmacia Mandanici,027077027,NTR*SPRAY NASALE 15ML,1,0.33,0,120,2
Farmacia Mandanici,027456033,CLAREMA*CREMA 30G 1%,1,0.33,4,486,1
Farmacia Mandanici,028057014,"SOLUMAG*OS 20FL 1,5G 10ML",1,0.33,0,100,1
Farmacia Mandanici,028122063,"ONILAQARE*SMALTO UNGHIE 2,5ML",1,0.33,0,252,5
Farmacia Mandanici,029824291,ACQUA PI GS*5F 5ML,1,0.33,0,34,1
Farmacia Mandanici,029851173,MOVICOL*SENZA AROMA BB 20BUST,1,0.33,8,222,10
Farmacia Mandanici,030775023,"SODIO CLORURO FKI*0,9% 100ML",1,0.33,0,937,1
