Pager usage is off.
Output format is csv.
sku,prod,stk,ss,val,pos,clk,cost30,vende_rete,prot_stock,categoria
946449954,NATURAL VITA D3 100PRL,3,298,11.90,1,67,18.67,f,f,HELD_basket
931925109,ELMEX SENSITIVE PROF 75ML,17,1156,3.52,1,53,14.77,t,f,HELD_basket
984599769,ALTRAPELLE MEDICAL MICOSI PIED,5,29,6.85,1,47,13.09,f,t,HELD_basket
950838223,SUPRADYN EXPERT MAGNESIO 60CPS,25,126,6.65,1,35,9.75,t,f,HELD_rete_pos
935810960,VAGISIL INTIMA GEL IDRAT MONOD,4,155,11.10,1,34,9.47,t,f,HELD_rete_pos
931152742,OMEGA3 VITI TRIPLA AZIONE60PRL,41,539,4.19,3,30,8.36,f,t,MAGAZZINO_netto
949645396,DR VITI DRENANTE ANANAS 500ML,6,0,8.37,1,28,7.80,f,t,HELD_basket
987401243,DT OIL CONTROL SHAMPOO 200ML,77,324,9.46,4,27,7.52,t,f,HELD_basket
930530682,DERMAFRESH ODOR CONTROL CREMA,3,93,5.14,1,26,7.24,t,f,HELD_basket
924268788,ELMEX SENSITIVE PROF COLLUT,26,780,5.28,3,24,6.69,t,f,HELD_basket
935631630,MELLIS MED SHAMPOO 125ML,4,1521,12.87,4,24,6.69,t,f,HELD_rete_pos
951318892,LFP PRO ACQUA SPRAY 100ML,12,0,8.00,1,24,6.69,f,t,MAGAZZINO_netto
047883032,DICLOFENAC TEVA*GEL 60G 10MG/G,13,119,3.68,1,23,6.41,f,t,MAGAZZINO_netto
935590974,POLIDENT LUNGA TENUTA 70G,132,1937,6.57,1,21,5.85,t,t,HELD_basket
029851084,"MOVICOL*CIOCCOL BB 20BUST 6,9G",0,150,10.11,1,20,5.57,t,f,HELD_rete_pos
944292527,MAGNESIO POTASSIO S/ZUCCH60CPR,4,549,5.64,3,19,5.29,t,f,HELD_basket
982476285,LACDIGEST LACTOFREE 30CPR,3,4892,13.84,6,19,5.29,t,f,HELD_basket
935808927,IRIDIL SALV LAVAOCCHI 28PZ,4,337,7.72,1,18,5.01,t,f,HELD_basket
902182005,ASTENIX 12BUST,3,223,3.75,1,18,5.01,t,f,HELD_basket
970357719,CLIADENT GEL GENGIVALE,3,387,7.35,1,18,5.01,t,f,HELD_rete_pos
984733550,MONURELLE PLUS AF 30CPS,6,100,15.74,5,17,4.74,t,f,HELD_rete_pos
987757667,LIPEDESIN 30BUST,0,184,32.32,7,17,4.74,t,f,HELD_rete_pos
976772208,MERIDOL DENTIFRICIO BITUBO75ML,12,756,4.09,2,16,4.46,t,f,HELD_basket
947473880,RESVERATROX 60CPS,7,103,34.32,1,16,4.46,f,t,HELD_basket
984819894,NEURODOL ACIDO LIPOICO 30CPR,0,77,11.80,1,15,4.18,t,f,HELD_rete_pos
947182832,OLIGO MSM PLUS 60TAV,5,36,22.99,1,15,4.18,t,t,HELD_basket
982934010,FITOSTIMOLINE SEPTAGEL GEL VAG,7,491,9.68,1,15,4.18,t,f,HELD_rete_pos
035355015,TANTUM VERDE GENG E STOM*240ML,26,150,5.79,1,14,3.90,t,t,HELD_rete_pos
943295067,MASSIGEN PAPPA REALE 10FL 25ML,8,552,6.86,2,14,3.90,t,t,HELD_basket
926561489,IALUSET SILVER SPRAY 125ML,14,373,6.25,2,14,3.90,t,t,HELD_rete_pos
989332857,AVENE SOL SPRAY SPF 30 200ML,9,783,12.83,7,14,3.90,t,f,HELD_basket
909084550,VAGISIL POLVERE PROTECT PLUS,11,234,8.68,4,13,3.62,t,f,HELD_basket
923485003,ARION EASY-SLIDE INFILACALZE L,0,24,23.66,3,13,3.62,t,f,HELD_rete_pos
029278013,"KETOFTIL*COLL FL 10ML 0,5MG/ML",4,339,12.49,2,13,3.62,f,f,HELD_basket
949437471,DR VITI CREMA COLLAGENE ANTIR,5,138,8.54,2,13,3.62,t,t,HELD_basket
984881401,AVENE RISTRUTTURANTE DOPO200ML,11,109,9.81,8,12,3.34,t,f,HELD_basket
981937360,KERACNYL GEL DETERGENTE 400ML,28,248,11.98,2,12,3.34,t,f,HELD_basket
980911770,NERADIN 28CPS,0,215,22.25,8,12,3.34,t,f,HELD_rete_pos
029565013,"LAEVOLAC*SCIR 180ML 66,7%",7,100,7.91,7,11,3.06,t,f,HELD_rete_pos
936018237,ENTEROGERMINA GONFIORE 20BUST,4,793,14.30,6,11,3.06,t,f,HELD_basket
989665373,PREBIOBARRIER 30CPR RIVESTITE,7,0,14.79,1,11,3.06,f,t,HELD_basket
987776984,CEF REIMAG 400+ 20POUCH,4,0,11.50,,11,3.06,f,f,MAGAZZINO_netto
900191469,VITREOXIGEN 20CPR,7,218,12.65,6,11,3.06,t,f,HELD_rete_pos
951365218,LIPIKAR BAUME AP+MAX 200ML,4,211,18.12,3,11,3.06,f,f,HELD_basket
020702080,MAALOX PLUS*30CPR MAST,22,418,9.39,10,11,3.06,t,t,HELD_basket
985821115,BIOSCALIN TRICOAGE FIALE,0,12,42.85,2,11,3.06,t,f,HELD_rete_pos
038354027,FLECTOR UNIDIE*8CER MED 14MG,9,124,12.14,3,10,2.79,t,f,HELD_basket
028440030,CONNETTIVINA PLUS*CREMA 25G,0,153,10.66,7,10,2.79,t,f,HELD_basket
032040014,COLLIRIO ALFA OCCHIO SEC*20FL,3,284,8.19,3,10,2.79,t,f,HELD_basket
972532840,OLEA D3 MAX GOCCE 20ML,0,549,13.86,9,10,2.79,t,f,HELD_rete_pos
981389341,DERMON DETERGENTE INTIMO 500ML,13,327,5.60,1,10,2.79,t,t,HELD_basket
935160352,CELL INTEGRITY BRAIN 40CPR,0,230,32.22,6,10,2.79,f,f,GROSSISTA_netto
980254508,FITOSTIMOLINE PLUS GARZA 10X10,15,2395,13.04,4,9,2.51,t,f,HELD_rete_pos
