Pager usage is off.
Output format is csv.
sku,prod,val,pos,ss,clk,cost30
935160352,CELL INTEGRITY BRAIN 40CPR,32.33,6,225,10,2.79
975922295,PERDITA DI PESO 60CPS,9.12,10,87,10,2.79
924587239,MAGNESIO C/VITAMINE B 30CPR,5.92,12,147,8,2.23
943372843,PRINCIPIUM B12 1000 60CPR SUBL,12.97,5,873,7,1.95
971170600,HYDRABIO CREME 50ML,18.84,3,97,6,1.67
901510836,"PHYTOSOYA 17,5MG 60CPS",14.02,5,25,6,1.67
951195369,HYALONE INTRA-ART 60MG 4ML 1PZ,116.01,11,17,6,1.67
931988289,CER MEDS TNT FIX 1000X10CM,4.97,4,45,5,1.39
985712571,PRURICED CREME T 100ML,10.95,14,11,5,1.39
931855757,CREMA BARRIERA STOMIA 60G,7.12,3,43,5,1.39
943065995,DREAGIN PLUS OVULI VAGINALI10P,16.58,3,124,5,1.39
983466362,DONNA PIU' 60CPS,8.62,6,12,4,1.11
982684413,CH TIRALATTE ELETTRICO,107.52,8,60,4,1.11
979356019,REPIGMA CREAM 100ML,22.02,1,8,4,1.11
935611121,ENSURE ADVANCE CIOCCOLATO 850G,31.79,8,121,4,1.11
987025665,PIC EASY WASH PERA CAN 224ML,6.90,11,55,4,1.11
935952919,SOLVHOREN RETARD 60CPR,16.09,3,32,4,1.11
912344734,MENOCOMPLEX 60CPS,19.89,7,100,3,0.84
801210776,SIN 48 50ML GTT,14.82,2,7,3,0.84
984520332,DERMACOTONE PANN MUT L 12PZ,7.88,3,72,3,0.84
921177655,ERMIDRA' SPRAY 300ML,17.10,5,573,3,0.84
938467545,MAGNESIO CLORURO POLV 500G,8.66,5,110,3,0.84
949500692,TOTAL DEP 500ML,14.38,5,114,3,0.84
935790701,M-AID ROLLFLEX A-STOP M10X10CM,31.78,2,7,3,0.84
987067042,SANAVITA MACROCOL PLUS 20BUST,7.94,13,31,3,0.84
906810775,RUSCH 850414/1 RACC 2LT STER1P,4.68,12,238,3,0.84
908646944,VITAMINDERMINA OSSIDO ZINC50ML,7.46,3,336,3,0.84
974109276,CERAVE CREMA IDRATANTE 50ML,6.55,15,210,3,0.84
934830783,ARTROGELARD 30CPR 1200MG,16.30,4,118,3,0.84
973292954,ACNAID CE SAPONE LIQUIDO 300ML,17.96,1,160,3,0.84
985723675,PEDIAVIT GOCCE 15ML,15.83,5,367,3,0.84
982941698,ESENTA FILM PROT SPRAY 50ML,10.05,2,91,3,0.84
983278209,METILBEN 30CPR,20.25,6,52,3,0.84
980295455,ARTIGLIO DIAVOLO EXTRACT PLUS,6.57,4,50,3,0.84
901730313,GEHWOL CR ANTISCREPOLATURE75ML,9.83,6,306,3,0.84
987718792,ORALB POWER ORAL CENTER+IO6,180.23,7,69,3,0.84
921232409,PESCURA FLAT ORIG BYCAST SAB38,56.74,3,6,3,0.84
944800984,LONGLIFE QUERCETINA 200 60CPR,14.68,4,107,2,0.56
977809173,PAPIL-OFF OVULI VAGINALI 10PZ,17.73,6,90,2,0.56
935602247,DELTACRIN WNT SHAMPOO PHARCOS,19.39,6,131,2,0.56
983801630,ZYMEREX COLON E STRESS 24CPR,10.94,7,198,2,0.56
909429262,SPUGNA NAT MARE 3 GRANDE,5.20,4,89,2,0.56
027032059,"NAAXIA*COLL 10ML 4,9%",15.67,3,186,2,0.56
976395677,RIDUCELL TRATTAMENTO MIR 30CPR,7.38,8,55,2,0.56
044140010,BETADINE*SOLUZ CUT 125ML 10%,5.21,2,798,2,0.56
978115804,LAEVOLAC FIBRE 100CPR,7.18,14,332,2,0.56
908621194,GEHWOL BALS RINFRESCANTE 75ML,9.30,8,89,2,0.56
900299153,CLINNIX OIL DETERGENTE 500ML,22.23,5,104,2,0.56
934857867,LACRIMALFA SOL OFTALMICA 10ML,7.97,3,259,2,0.56
945185724,SOLO TIRALATTE ELETTRICO SINGO,154.96,10,17,2,0.56
004905143,"PLACENTEX*SOL CUT 10F 0,75MG",17.74,1,14,2,0.56
970540910,ORTICA ESTRATTO INTEGRALE200ML,15.97,2,27,2,0.56
975816315,COLPHARMA MAGNETO CARE HOME,184.09,11,9,2,0.56
906496928,PROXEED NF 20BUST,37.87,2,100,2,0.56
984554915,GUAM PANTASLIM CRYO+RIC3X100ML,22.79,5,67,2,0.56
987264215,SERENITY CARE CR BARRIERA ZINC,5.53,7,98,2,0.56
947381176,GOLDEN BETA-GLUCANI 60TAV,24.69,9,10,2,0.56
943992800,"BIOKAP NUTRIC DEL RAP 6,30 BIO",9.25,5,21,2,0.56
989824002,SCHOLL GELACTIV SCA CAS L 2025,9.51,8,452,2,0.56
979406752,CAPELLI LOZIONE CAPELLI RIVIT,12.00,10,219,2,0.56
930410903,TEPE SCOVOLINI MISTI RA/VE 6PZ,5.37,9,63,2,0.56
901890689,IRIDIL MASCHERA RIPOSO OCCHI,6.00,8,119,2,0.56
978598845,FOOTCARE PROT GEL 5 DITO C15,6.88,6,11,2,0.56
027077015,NTR*GTT NASALI 15ML,7.18,5,8,2,0.56
913086171,LIPO FOSFATIDILCOLINA 10F 10ML,51.29,7,5,2,0.56
905368763,MEDILEN GLOVE CREMA 50ML,16.44,4,55,2,0.56
982515696,VITAMINDERMINA GEL ANTI SFREG,9.34,10,33,2,0.56
982407924,RILASSANDO 30CPR MELATONINA,16.19,4,95,2,0.56
032072062,"HYALISTIL*0,2% COLL FL 5ML",14.13,1,110,2,0.56
980770414,ZENTIVA GOOD NIGHT 30CPR,10.59,15,217,2,0.56
909137414,RILASTIL INTEN CR NTT 50ML,30.03,3,133,2,0.56
971064783,TRIAMAG B6 36CPR,18.09,5,176,2,0.56
949924118,LONGLIFE A BASIC 60TAV RIVEST,14.05,2,66,2,0.56
924277306,"CURASEPT COLL 0,05 TRAVEL ADS",4.45,8,24,2,0.56
984744882,MECOLIN 1200 14BUST,21.59,8,520,2,0.56
986624765,DERMOVITAMINA MICO SMALTO TRAS,5.34,6,100,2,0.56
037291046,CAREXIDIL*SOLUZ CUT 60ML 2%,15.46,5,115,2,0.56
037291010,CAREXIDIL*SOLUZ CUT 60ML 5%,32.95,2,208,2,0.56
978433858,IPROST 320 ESA 30PRL,14.63,1,62,2,0.56
974890612,GARZA MEDS FARMACTIVE ST 10X10,10.47,1,23,2,0.56
943186294,TRIO DIGERACID 24CPR,8.75,15,30,2,0.56
989876317,HIFAS LENTINAN 30ML,25.86,8,91,2,0.56
982532436,FLAVIS PAN RUSTICO 300G,5.90,4,233,2,0.56
979178290,NUTRAMET FIBRA 20BUST,16.37,7,145,2,0.56
984897583,QUINTON HYPERTONIC 30F 10ML,26.28,7,30,2,0.56
927025421,LADY PRESTERIL DPIU'EXTRA 10PZ,4.56,8,224,1,0.28
938896279,PSILLO CUTICOLA P 100G,6.01,4,85,1,0.28
903982445,BIMBI TALCO LIQUIDO 100ML,8.59,7,42,1,0.28
904862998,BENDA MOLLELAST HAFT10X2000,11.08,6,6,1,0.28
944959206,MULTI 45 50CPR,13.21,4,32,1,0.28
901289367,LONGLIFE MAGNESIUM 188 100CPR,12.82,3,70,1,0.28
909113122,M-AID ROLLFLEX CER 2X10 1PZ,6.87,7,151,1,0.28
975186560,VITA D GOCCE 50ML,11.32,11,49,1,0.28
931935264,"TSP 1% SOL OFT 30FL 0,5ML",18.45,7,51,1,0.28
942260338,EUPH COLORPRO XD610 BION S,8.32,14,76,1,0.28
985505748,GUAM PANTACELL RICARICA 3BUST,24.76,5,44,1,0.28
023491172,MICOTEF*CREMA CUT 30G 2%,15.69,1,13,1,0.28
980926570,BARILIFE CALCIOLIQUIDO 15STICK,11.98,7,143,1,0.28
901373718,MENTA OLIO ESSENZIALE 10ML,5.74,9,163,1,0.28
