sku,prod,brand,rev90,n_ten,n_ord,fonte,erp_stock,supplier_stock,pos,costo,prezzo,comp_min,n_comp,floor_price,target_price,ricarico_target_pct,verdetto,cut_needed
042176038,BEACITA*84CPS 60MG,B2A,65047.46,5,1135,grossista,0,65,,26.44,31.20,,,30.14,,,NO_SCRAPER_48h,0
988166029,CARDIORITMON COLESTEROLO 60CPS,"",25894.21,8,448,grossista,0,5120,,30.82,34.71,36.36,54,34.52,36.35,17.9,STANDALONE,0
941079055,ARTIKRILL DOL CANE 200PRL,1R2,11907.97,5,202,grossista,0,180,,52.16,59.99,57.35,46,58.42,57.34,9.9,NON_POSIZIONABILE,0
023356076,DAFLON*120CPR RIV 500MG,DAF,11312.56,10,300,MAGAZZINO,2,153,,35.43,39.05,34.90,69,39.68,34.89,-1.5,NON_POSIZIONABILE,0
943702668,MELIVEN TOP 20CPR,MLV,11135.95,8,244,grossista,0,2517,,16.72,19.56,21.49,45,19.06,21.48,28.5,STANDALONE,0
942224383,APPORTAL 14BUST,PHU,10712.18,9,256,grossista,0,2655,,17.77,20.79,18.56,79,20.26,18.55,4.4,NON_POSIZIONABILE,0
952052898,KALANIT DOL LIMONE 14BUST,"",9293.75,8,169,MAGAZZINO,1,249,,22.95,0.00,30.83,24,26.16,30.82,34.3,REINSERISCI_prezzo_fb,0
949503229,ASTROCIT PEA 10STICK PACK,"",7964.14,2,112,grossista,0,466,11,23.11,28.13,27.89,33,26.35,27.88,20.6,VIA_PC,0.25
975454998,HYALOSILVER PLUS SPRAY 125ML,HYR,6941.94,7,196,MAGAZZINO,1,3194,,10.15,12.08,11.28,56,11.57,11.27,11.0,NON_POSIZIONABILE,0
952110029,TIOBEC LAC 30CPR,0W1,6701.73,4,121,grossista,0,138,,22.63,0.00,29.23,34,25.80,29.22,29.1,REINSERISCI_prezzo_fb,0
943324487,COLLAGENDEP PINK BEAUTY20STICK,ERZ,6696.76,1,87,grossista,0,387,,33.51,39.20,35.93,34,37.53,35.92,7.2,NON_POSIZIONABILE,0
938980188,SIDERAL FORTE 20CPS,0Y4,6658.91,10,194,MAGAZZINO,13,10430,,17.85,20.89,20.77,77,20.35,20.76,16.3,VIA_PC,0.13
952125920,GLIALIA 700MG+70MG 30BUST,"",6370.13,7,113,grossista,0,3317,,27.08,0.00,32.80,30,30.87,32.79,21.1,REINSERISCI_prezzo_fb,0
979232648,METARECOD 40BUST GRAN,ABO,6172.15,7,127,grossista,0,1789,,20.94,24.50,21.12,79,23.87,21.11,0.8,NON_POSIZIONABILE,0
989013685,GOLD COLLAGEN FT AGELESS 10FL,"",5959.64,3,60,grossista,0,237,,49.35,59.22,42.59,43,55.27,42.58,-13.7,NON_POSIZIONABILE,0
904104193,SIDERAL 20CPS,0Y4,5886.24,6,124,MAGAZZINO,3,794,,15.61,18.26,17.49,62,17.79,17.48,12.0,NON_POSIZIONABILE,0
985991239,FLEBOMIX 1000MG 90CPR,"",5703.61,5,120,grossista,0,100,,36.65,0.00,45.00,26,41.05,44.99,22.8,REINSERISCI_prezzo_fb,0
