minsan;nome;categoria;prezzo;domanda_rete_30g;best_mercato
975454998;HYALOSILVER PLUS SPRAY 125ML;Dermatologici,Corpo;9.89;592.00;11.66
026525055;VEROLAX*AD RETT 6CLISMI 6,75G;Stipsi e transito intestinale;1.86;166.00;2.11
031329030;GLICEROLO ZETA*6CONT 6,75G CAM;Stipsi e transito intestinale;1.86;155.00;1.93
026525093;VEROLAX*AD 18SUPP 2,25G;Stipsi e transito intestinale;1.88;110.00;1.72
935617478;TANTUM ROSA INT DERMA DET500ML;Detergenti;3.89;97.00;5.82
909089031;ACQUA SIRMIONE MIN NAT 6F 15ML;Naso;8.28;86.00;8.83
902812799;CER'8 ZANZARE 48 CUSCINETTI;Repellenti;5.48;84.00;6.33
985387632;PERLAPROST 15PRL SOFTGEL;Apparato uro-genitale;20.73;83.00;21.49
930530670;DERMAFRESH P ALLERG ROLL ON 75;Uomo,Profumi / deodoranti;8.98;83.00;10.98
942862451;INOFOLIC COMBI HP 20CPS;Preparati;19.95;60.00;19.03
906664545;GUM CLASSIC 305 SPAZ DURO REG;Spazzolini;2.72;54.00;2.52
971116951;SYNAPSINE 10FL 10ML;Tonici psico/fisici;21.90;52.00;22.04
987842251;PROEVO 500 CRONO 15CPS;Apparato uro-genitale;18.69;51.00;19.58
023585019;NEURABEN*30CPS 100MG;Vitamine;14.04;50.00;14.66
981441987;REDIPEG 20STICK PACK 30ML;Antiacidi;18.81;48.00;19.29
933784389;MIOVEN 700 20CPR;Circolazione;17.74;48.00;20.12
028440030;CONNETTIVINA PLUS*CREMA 25G;Dermatologici;11.11;44.00;11.73
934388620;MILESAX 14BUST;Apparato muscolo scheletrico,Calmanti,Tonici psico/fisici;19.45;43.00;20.59
904433048;FLUVEN 20CPS;Circolazione;17.08;40.00;19.10
921131898;SENSIBIO H2O SOL MICELL 500ML;Detergenti / struccanti;10.00;40.00;9.35
933532689;MELATONINA VITI RETARD 60CPR;Calmanti;3.41;39.00;3.95
903054839;EUPHIDRA AMIDOMIO INTIMO DET D;Detergenti;4.98;37.00;5.40
985657651;CONTENITORE URINA SOFARMAPIU';Contenitori;0.50;37.00;0.41
926888785;VERTIGOVAL 20CPR;Orecchio;16.24;36.00;18.33
989690716;NEOBIANACID 70CPR LIMONE;Antiacidi;17.84;34.00;19.23
930530718;DERMAFRESH IPERSUD LATTE CORPO;Uomo,Profumi / deodoranti;6.47;34.00;6.97
980247860;XIPAG 20CPR;Apparato uro-genitale;22.70;33.00;23.59
935501371;VEA INTIMO TT CR IGIENE INTIMA;Altri prodotti;11.85;33.00;13.37
981154281;TANTUM VERDE SOS PLACCA 500ML;Collutori;3.56;33.00;3.57
938076369;ALTACOL 20CPS;Circolazione;17.49;32.00;19.54
988027936;PREP CREMA DERMOPROTETTIVA 75G;Dermatologici,Viso,Lenitivi;3.59;32.00;5.59
004853053;VALERIANA DISPERT*20CPR 125MG;Calmanti;7.69;31.00;8.06
924451913;MELATONINA ACT +VAL+FT5C 60CPR;Calmanti;5.71;31.00;6.24
911147546;GARZA PIC 10X10CM 100PZ FUSTEL;Bende e garze;2.13;31.00;2.19
026525042;VEROLAX*BB RETT 6CLISMI 2,25G;Stipsi e transito intestinale;1.83;31.00;2.81
030512115;GLICEROLO NA*6CONT 6,75G;Stipsi e transito intestinale;1.53;31.00;1.54
930856101;SAUGELLA ASSORBENTI GG 14PZ TP;Assorbenti;2.69;30.00;2.90
986118228;BETAMETIL 1000 4CPR SUBLINGUAL;Tonici psico/fisici;11.41;29.00;12.25
974059584;LINES CLAS RETT C/BARRI 30PZ;Pannoloni;8.29;29.00;7.89
023198043;VICKS SINEX*SPR NAS FL 10ML;Raffreddore;7.57;29.00;8.11
971216395;PIC SOLUTION ACQUA OSSIG 10VOL;Disinfettanti e medicazioni;0.73;29.00;1.12
978269532;LAEVOLAC STICK 10BUST;Stipsi e transito intestinale;6.98;27.00;7.25
943129371;VISUXL GEL 10ML;Preparati;20.17;26.00;22.08
904658554;PROIDEMA CRONO 30CPR;Circolazione;19.67;24.00;22.06
979332400;BIOCHETASI ACIDITA' 20CPR MAST;Antiacidi,Digestivi;7.87;24.00;9.34
924124391;CICAPLAST LEVRES 7,5ML;Protettivi per labbra;6.12;24.00;8.61
970449346;LIGHTS BY TENA LONG 20PZ;Assorbenti;2.13;24.00;2.01
938819113;TIROXIL 4,0 30CPR;Tonici psico/fisici;16.44;23.00;17.96
944620285;LACRICOMPLEX SOL OFT 10ML;Preparati;18.65;22.00;20.15
932252618;BUONAVIT D3 12ML;Associazioni minerali-vitamine;14.00;22.00;14.01
931203006;STERIMAR IPERTONICO NASO CHIU;Naso,Infanzia;11.16;22.00;12.60
952125920;GLIALIA 700MG+70MG 30BUST;Tonici psico/fisici;31.69;21.00;34.38
934026838;AINARA GEL VAGINALE IDRAT 30G;Altri prodotti;16.74;20.00;18.89
034102386;NUROFEN FEBBRE D*200MG/5ML FRA;Analgesici,Infanzia;13.85;20.00;15.08
933320640;MELLIS BETA SHAMPOO 200ML;Topici;13.63;20.00;15.42
970373231;ELMEX SENSITIVE PROF RIPA&PREV;Dentifrici;4.87;20.00;4.40
931607434;FINDERM FORTE BETA 10CPS MOLLI;Apparato uro-genitale;15.58;19.00;17.57
987318084;GUM SOFT PICK PRO MEDIUM 30PZ;Accessori per la pulizia dei denti;4.16;19.00;4.29
906677950;SIR PIC ULTRAFINE 5ML 14 10P;Aghi e siringhe;2.10;19.00;6.04
935010049;TOTAL ENERGY CARBO GEL AGR40ML;Preparati;1.78;19.00;1.61
905026389;TSP 0,5% SOL OFTALMICA 10ML;Preparati;14.56;18.00;16.43
900489360;GASTROTUSS SCIROPPO 500ML;Antispastici;14.42;18.00;16.29
939324594;BUONERBE FORTE 60CPR BIOSLINE;Stipsi e transito intestinale;10.32;18.00;11.81
931989329;ILLUMINA 20CPR;Calmanti;22.53;17.00;21.52
935129837;CARDIOSIDERAL 20CPS;Minerali;21.91;17.00;22.87
909467728;NUX VOMICA 50TAV HEEL;;9.79;17.00;10.10
981498898;ROC KEOPS DEOD ROLL-ON 48H;Profumi / deodoranti;6.20;17.00;6.03
941972236;INOFOLIC HP 20BUST;Preparati;18.11;16.00;20.07
028702076;DIATHYNIL*30CPR 5MG;Dermatologici;14.64;16.00;15.72
982475319;SERENITY PANTS SD SENS EX XL14;Pannoloni;15.01;15.00;13.75
951332422;EUGLYCEM 30CPR;Metabolismo;19.15;14.00;22.37
972293169;LEVASTEN 10FL 10ML;Tonici psico/fisici;16.52;14.00;18.17
981365416;ENTERELLE PLUS 24BUST STICK;Fermenti lattici;14.95;14.00;15.32
900780471;VEA OLIO IDRAT PROT P SEC 20ML;Idratanti;13.93;14.00;16.02
023589031;STREPTOSIL NEOMICINA*POLV 10G;Dermatologici;8.94;14.00;9.78
985657612;SPAZZOLINO WHIT MED SOFARMAPIU;;0.87;14.00;1.09
