minsan;nome;ord_30g;prezzo_pre_26_6;prezzo_dopo;aumento_pct;pos_oggi;disponibile
930400623;EUCERIN SUN SPRAY TRANSPAREN50;7;9.46;13.87;46.6;;SI
037713043;CETIRIZINA MY*7CPR RIV 10MG;4;1.90;2.57;35.0;;SI
927583486;DERMOXEN FLOREXIL LAV VAG 5FL;4;10.25;13.51;31.8;2;SI
018723080;ACTIFED*12CPR 2,5MG+60MG;5;5.81;7.13;22.8;6;SI
900095579;BENEX GEL FREDDO 200ML;5;9.74;11.85;21.7;7;SI
935688945;ARMOLIPID PLUS 60CPR;11;26.40;30.57;15.8;;SI
031329030;GLICEROLO ZETA*6CONT 6,75G CAM;11;1.76;2.04;15.8;;SI
940091388;SUNISDIN CAPSULE 30CPS;7;19.48;22.50;15.5;16;SI
906780541;EUPHIDRA AMIDO RINF 125ML;18;5.13;5.77;12.5;12;SI
029651039;GLICEROLO*AD 18SUPP 2250MG;6;2.37;2.65;11.8;;SI
034738017;ACICLOVIR MY*CREMA 3G 5%;4;3.28;3.66;11.6;;SI
987025499;THEALOZ TOTAL GOCCE OCUL 10ML;8;14.99;16.57;10.5;18;SI
905435273;DECORTIL C CR VASETTO 250ML;14;28.38;31.31;10.3;10;SI
975871753;LOVREN MASCARA M2;7;2.33;2.56;9.8;;SI
988339091;GFM SHAMPOO IRALTONE 400ML;5;11.81;12.96;9.8;;SI
904671183;AVENE ACQUA TERMALE SPR 50ML;45;6.48;7.11;9.7;;SI
987449802;RIPAGEL VET GOCCE OCULARI 10ML;4;14.81;16.25;9.7;12;SI
981498999;ROC LATTE DOPOSOLE RINFRESCANT;9;8.20;8.93;8.9;13;SI
990377400;FORTEND MAX 20BUST;10;22.37;24.35;8.8;4;SI
972003267;OPTIVE FUSION 10ML;9;12.55;13.66;8.8;7;SI
951149968;AXIGAB 90CPR;7;24.02;26.03;8.4;9;SI
934425784;DANASE 20CPR;6;9.54;10.33;8.3;11;SI
987844204;BIOTRANSIT 30STICK 15ML;4;23.78;25.73;8.2;13;SI
943175529;ROUGJ CIGLIA FINTE MASCARA EVA;7;2.59;2.80;7.8;;SI
975906544;PROBLAST 30BUST;4;20.34;21.92;7.8;10;SI
930530732;DERMAFRESH IPERSUD ROLL ON DEO;89;6.04;6.50;7.6;12;SI
976392225;PHYSIOMANCE GLUCO 3 90CPR;6;37.48;40.35;7.6;9;SI
979276565;TRIDERM AD CREMA SOL SPF50+;4;19.08;20.51;7.5;11;SI
978582777;EUCERIN SUN GEL DRY TOUCH 30+;5;16.77;18.03;7.5;8;SI
941079055;ARTIKRILL DOL CANE 200PRL;31;54.20;58.23;7.4;;SI
984846764;UROXIN 4G 14BUST;20;17.77;19.09;7.4;16;SI
989362633;CONDROSTRESS MOBILITY 90CHEWS;9;43.71;46.92;7.3;15;SI
949725129;CDS22 FORMULA 450MLD 12BUST;9;16.76;17.99;7.3;9;SI
938586563;LIQUIPEF 60CPR;7;17.26;18.52;7.3;15;SI
931082705;CUMAXINA 30CPR;4;19.29;20.64;7.0;11;SI
977731102;B-VITAL TOTALE 500 30CPR;5;12.51;13.39;7.0;18;SI
978861490;VIDERMINA LUBRIPIU OLIOLATTE;6;8.28;8.84;6.8;;SI
975040522;COBAXIL B12 1000MCG 5CPR SUNBL;7;17.18;18.33;6.7;4;SI
989812173;EVAGYN GEL VAGINALE 8TUB 5ML;13;15.84;16.88;6.6;9;SI
982471942;BUTTERFLY PEA TE' DI FIORI 50G;25;14.06;14.96;6.3;6;SI
938878218;THE NILO TAGLIO FILTRO 1KG;5;18.83;19.97;6.1;7;SI
971390226;HEPILOR LIQUIDO 20BUST MONOD;6;16.52;17.52;6.1;10;SI
985661356;TAMACID PRO 20STICK PACK 15G;6;15.68;16.63;6.0;17;SI
987388877;IRONDELTA 30CPS;8;18.05;19.14;6.0;12;SI
940532548;SYALOX 300 PLUS 30CPR TRIPLO S;10;28.08;29.76;6.0;13;SI
978476380;COBAXIL B12 5000MCG 5CPR SUNBL;6;23.84;25.23;5.8;12;SI
982476285;LACDIGEST LACTOFREE 30CPR;5;13.58;14.37;5.8;15;SI
