minsan;nome;ord_30g;rev_30g;pos_25_29giu;pos_oggi;delta;erp_stock;forn;disponibile;prezzo
980247860;XIPAG 20CPR;32;1827;1;17;16;0;168;SI;23.58
930530732;DERMAFRESH IPERSUD ROLL ON DEO;91;1684;7;12;5;0;1073;SI;6.58
947096626;REUTERAL PET GATTO GOCCE 10ML;26;1096;4;10;6;0;71;SI;13.83
980258937;COLIN A 1000 30FL 10ML;13;1022;8;11;3;0;222;SI;66.98
950239677;VIVOMIXX 460 NEO 9 10BUST;17;933;1;4;3;0;52;SI;18.50
985826104;HELIOSKIN D-PLUS PHARCOS 30CPR;14;732;4;12;8;0;133;SI;25.36
989893019;REDIPET 30CPR;17;686;4;8;4;0;592;SI;16.72
940532548;SYALOX 300 PLUS 30CPR TRIPLO S;11;649;2;13;11;0;475;SI;33.02
952110029;TIOBEC LAC 30CPR;13;622;10;15;5;0;313;SI;27.42
943322685;CONNECTASYL 60CPR;10;593;7;16;9;0;973;SI;32.13
938076369;ALTACOL 20CPS;12;589;2;15;13;0;477;SI;18.06
987762352;REDEMASE 500 30CPS;11;566;1;10;9;0;176;SI;21.20
950024810;FLOMEL 500 40BUST;11;553;5;8;3;0;366;SI;32.93
930530326;NEOVIS PLUS 20BUST;11;518;7;17;10;0;373;SI;13.61
989678863;SIBOSOLV 60CPS ACIDORESIST;16;511;2;12;10;0;95;SI;32.19
989035567;THEALOZ DUO SOLUZIONE OFT 15ML;10;488;1;10;9;0;13;SI;19.49
949725129;CDS22 FORMULA 450MLD 12BUST;9;485;1;9;8;0;414;SI;19.79
950249767;APRYLIC 500ML;7;431;1;8;7;0;14;SI;68.83
985766361;CISTIFLOREN 1000 14STICK PACK;8;403;1;14;13;0;97;SI;21.09
950915470;FIDEK 40CPR 1,5G DRN;9;398;3;13;10;0;15;SI;30.23
975609948;REONAT 30CPR;7;381;1;14;13;0;178;SI;27.12
972286482;HAIRVIT 90CPS MOLLI;5;378;7;11;4;0;50;SI;50.23
971481357;MACROCEA 40CPR;7;358;2;9;7;0;298;SI;25.45
981647023;SNS TED 30BUST;9;334;5;14;9;0;307;SI;18.32
937494502;CONVEEN OPTIMA GUAINA 35MM 30P;5;333;3;7;4;0;33;SI;58.40
989267657;PLAS BROMELINA 20STICK PACK;7;326;1;16;15;0;256;SI;23.89
951149968;AXIGAB 90CPR;9;324;5;9;4;0;136;SI;28.40
971981105;BIO STRATH ELIXIR 500ML;5;307;2;9;7;0;39;SI;42.63
943303279;GASTROVOM CANE GATTO GEL 50ML;14;283;4;15;11;0;1117;SI;14.98
924285719;DRENVIN 250ML;7;251;2;13;11;0;563;SI;19.96
981972108;DOLORINA 20CPR MASTIC NF;6;246;2;6;4;0;168;SI;21.88
951171329;LONGLIFE MAGTEIN MG L-THR60TAV;4;239;3;10;7;0;68;SI;36.77
931647236;RESTAX 30CPS+30CPS SOFTGEL;4;236;2;13;11;0;1176;SI;26.84
938586563;LIQUIPEF 60CPR;9;232;7;15;8;0;959;SI;20.85
951889930;APTODIN ESO 30STICKPACK;6;216;1;12;11;0;259;SI;34.98
931082705;CUMAXINA 30CPR;4;211;2;11;9;0;60;SI;22.76
942210170;PICNOVEN DREN 100CPR;5;210;3;11;8;0;131;SI;31.60
950956817;COLIPRAL 30CPS;6;207;2;6;4;0;51;SI;18.81
934322280;MELIVEN 3 30CPR;5;193;2;10;8;0;358;SI;19.06
951361120;FLAVIAM CREMA SCHIARENTE 40ML;5;189;2;9;7;0;137;SI;41.31
981974355;CLEAN KILL EXTRA MICRO FAST 1L;3;189;5;10;5;0;193;SI;25.79
938878218;THE NILO TAGLIO FILTRO 1KG;6;189;4;7;3;0;51;SI;22.13
923536054;MICROLIFE AUTOMATIC EASY;5;183;1;12;11;0;19;SI;54.36
988829305;COLLAGE SKIN 30STICK;4;182;7;10;3;0;70;SI;27.56
938293457;RALIOS DERMA 30CPR;5;177;2;6;4;0;192;SI;23.54
975359720;ASUDYN 60CPR;3;177;2;12;10;0;43;SI;37.83
950213342;TRIFEDOX 30CPR;4;170;2;5;3;0;26;SI;25.24
983364478;MAGNESIUM COMPOSITUM POLV 500G;3;170;3;14;11;0;36;SI;58.78
921232664;PESCURA HEEL ORIG BYCAST SAB39;3;164;1;11;10;0;32;SI;59.53
942699000;ERGYMAG 90CPS;5;159;2;7;5;0;158;SI;19.05
974090781;NITRONAT PLUS 14BUSTE;3;156;3;8;5;0;51;SI;50.70
950024822;FLOMEL 1000 14BUST;4;155;5;11;6;0;512;SI;23.58
978595712;VMAG 300G;3;155;2;10;8;0;19;SI;14.55
905171258;VITREOIAL 20BUST;4;148;12;15;3;0;365;SI;19.24
943256659;TIOCRONAL REDOX 20CPR;3;146;8;11;3;0;65;SI;25.43
023539075;TEGENS*OS GRAT 20BUST 160MG;5;143;1;6;5;0;106;SI;10.05
948133638;SYNOSTEA 20STICK PACK;3;138;3;14;11;0;579;SI;18.73
905163679;OZIDERM POLVERE 75G;5;132;9;12;3;0;586;SI;19.81
904639679;POLIVIT CREMA 500ML;5;130;5;8;3;0;100;SI;20.18
947247944;CAPSULASE 30CPS;3;128;9;14;5;0;245;SI;26.17
027261015;ALOXIDIL*SOLUZ 60ML 20MG/ML;6;120;1;14;13;0;584;SI;17.15
975867704;DIURESAN FORM POT SALUGEA60CPS;3;119;2;12;10;0;145;SI;32.71
925607184;FLOGOSPIR 20CPR;4;118;8;12;4;0;585;SI;16.14
975991175;GELDIS Gel 100ml Pulitore Bite;8;117;3;6;3;0;3199;SI;7.68
939953776;BERBEROL 30CPR;5;116;12;15;3;0;151;SI;14.62
980769640;EFFACLAR GEL PEELING 400ML ;6;109;2;5;3;0;279;SI;20.75
033913017;DOLAUT*GEL SPRAY FL 25G 40MG/G;7;106;7;12;5;0;611;SI;13.43
927096166;FLEBOKEN 30CPR;3;106;1;9;8;0;101;SI;19.93
902711581;DINABASE 7 ADESIVO DENTIERE;3;97;2;11;9;0;161;SI;8.77
980776936;VITAMINE MAXIMUM B 180PAST;3;95;5;9;4;0;15;SI;20.84
004853038;VALERIANA DISPERT*100CPR 45MG;3;92;1;12;11;0;1286;SI;10.47
931477184;VSL3 20CPS;3;79;5;13;8;0;547;SI;20.13
901826976;CITRAK FORTE 30BUST;3;72;4;10;6;0;500;SI;10.73
949966915;FOTOULTRA100 ACTIVE UNIFY 50+;3;70;6;13;7;0;0;NO;0.00
934520483;HEPAMAP 60CPR;3;65;5;14;9;0;116;SI;22.58
006570257;MAGNESIA S.PELL*EFF LIM 100G;5;58;2;7;5;0;2150;SI;6.48
989408479;CERAMOL SHAMPOO DS 200ML;3;54;12;15;3;0;984;SI;13.74
988027037;PAPIL DERMA CREMA 20ML;3;46;5;11;6;0;223;SI;15.06
933915201;AVENE SOL OLIO SPF30 200ML;3;37;1;5;4;0;87;SI;18.05
985918768;ZANZARELLA BRACC UNDER THE SEA;3;31;2;10;8;0;23;SI;6.94
902029038;DENTILINE PASTA 2G;3;23;3;8;5;0;285;SI;7.92
(81 rows)
