minsan;nome;ord_12_25giu;ord_dopo_26;prezzo_venduto_pre;prezzo_ora;rincaro_pct;stato;pos_oggi;disponibile
943702668;MELIVEN TOP 20CPR;57;15;15.95;17.77;11.4;DIMEZZATO;3;SI
941079055;ARTIKRILL DOL CANE 200PRL;24;5;54.20;67.94;25.4;DIMEZZATO;;SI
982471942;BUTTERFLY PEA TE' DI FIORI 50G;21;3;14.06;14.64;4.1;DIMEZZATO;6;SI
042028050;OKITASK*OS GRAT 30BUST 40MG;20;6;8.47;9.29;9.7;DIMEZZATO;;SI
980247860;XIPAG 20CPR;18;0;19.76;22.36;13.2;AMMUTOLITO;17;SI
984846764;UROXIN 4G 14BUST;17;1;17.77;20.32;14.3;DIMEZZATO;16;SI
906780541;EUPHIDRA AMIDO RINF 125ML;15;3;5.13;5.78;12.7;DIMEZZATO;12;SI
944910140;PRINCIPIUM MAGNESIO COMP 400G;15;4;19.40;21.95;13.1;DIMEZZATO;14;SI
975588056;SUPRADYN MAGNESIO/POT 24BUST (scade 08/2;15;2;6.98;7.68;10.0;DIMEZZATO;24;SI
978936781;LENIREF 24STICK PACK 15ML;13;0;15.40;17.99;16.8;AMMUTOLITO;12;SI
981498987;ROC SOLARE CORPO 30 IDRATANTE;13;0;8.38;15.28;82.3;AMMUTOLITO;;SI
905435273;DECORTIL C CR VASETTO 250ML;12;1;28.38;38.79;36.7;DIMEZZATO;10;SI
989678863;SIBOSOLV 60CPS ACIDORESIST;12;1;27.43;32.19;17.4;DIMEZZATO;12;SI
985826104;HELIOSKIN D-PLUS PHARCOS 30CPR;12;2;21.61;24.62;13.9;DIMEZZATO;12;SI
023356049;DAFLON*60CPR RIV 500MG;12;3;20.17;22.16;9.9;DIMEZZATO;;SI
030556029;PARACETAMOLO NOV*30CPR 500MG;11;3;1.76;1.90;7.7;DIMEZZATO;;SI
980258937;COLIN A 1000 30FL 10ML;11;2;57.88;66.98;15.7;DIMEZZATO;11;SI
926562861;ONETOUCH SELECTPLUS 25STR;11;2;9.23;11.12;20.5;DIMEZZATO;10;SI
989812173;EVAGYN GEL VAGINALE 8TUB 5ML;11;2;15.84;17.89;12.9;DIMEZZATO;9;SI
930530326;NEOVIS PLUS 20BUST;11;0;11.49;13.61;18.4;AMMUTOLITO;17;SI
987386101;ANTHELIOS SPRAY UVMUNE BB 50+;11;0;11.25;18.20;61.7;AMMUTOLITO;;SI
032182038;SODIO CLORURO EUROS*0,9% 500ML;11;1;1.45;1.59;9.7;DIMEZZATO;;SI
937494488;CONVEEN OPTIMA GUAINA 30MM 30P;11;4;46.22;58.26;26.0;DIMEZZATO;5;SI
017076074;VENORUTON*OS 30BUST 1000MG;10;1;14.45;16.09;11.4;DIMEZZATO;;SI
