minsan;nome;ord_12_25giu;ord_dopo_26;prezzo_venduto_pre;prezzo_ora;rincaro_pct;stato;pos_oggi;disponibile
989013685;GOLD COLLAGEN FT AGELESS 10FL;10;2;36.94;40.58;9.9;DIMEZZATO;;SI
984746103;COGNIZANT 10FL 10ML;9;0;14.04;17.85;27.1;AMMUTOLITO;;SI
923139505;LIPOSCUDIL PLUS 30CPS;8;0;14.48;17.43;20.4;AMMUTOLITO;;SI
043786033;TANTUM VERDE NASO CHIUSO*15ML;8;0;5.33;7.49;40.6;AMMUTOLITO;;SI
905972081;MAGNESIO SUPREMO 300G;8;0;17.17;19.61;14.2;AMMUTOLITO;;SI
970374462;MAGNESIO POTASSIO PLUS 24BUST;7;2;4.00;4.40;10.0;DIMEZZATO;;SI
952052898;KALANIT DOL LIMONE 14BUST;7;0;23.71;26.93;13.6;AMMUTOLITO;;SI
028742031;RINOCALYPTOL*SPRAY NAS FL 15ML;6;1;2.99;3.30;10.2;DIMEZZATO;;SI
042028050;OKITASK*OS GRAT 30BUST 40MG;6;0;7.52;8.70;15.7;AMMUTOLITO;;SI
000590051;RINAZINA*SPRAY NAS 15ML 0,1%;6;2;7.72;8.99;16.5;DIMEZZATO;;SI
935631630;MELLIS MED SHAMPOO 125ML;6;0;10.35;13.96;34.9;AMMUTOLITO;;SI
930285008;ONLIGOL MACROGOL 4000 400G;5;0;11.81;12.96;9.7;AMMUTOLITO;;SI
988925475;YOVIS CAPS 20CPS;5;1;12.61;13.79;9.4;DIMEZZATO;;SI
975816315;COLPHARMA MAGNETO CARE HOME;5;0;115.55;169.76;46.9;AMMUTOLITO;;SI
989018130;MAGNESIO SUPREMO POTASSIO+150G;4;0;7.93;8.82;11.2;AMMUTOLITO;;SI
042386348;BRUFEN ANALGESICO*12CPR 400MG;4;0;4.95;5.47;10.6;AMMUTOLITO;;SI
023356049;DAFLON*60CPR RIV 500MG;4;0;17.99;19.79;10.0;AMMUTOLITO;;SI
023694058;DISSENTEN*15CPR 2MG;4;1;5.75;6.31;9.7;DIMEZZATO;;SI
978844470;SUPRADYN MAGN/P LIMITED 38BUST;4;0;11.01;12.42;12.8;AMMUTOLITO;;SI
026630020;IRIDINA DUE*COLL 10ML 0,5MG/ML;4;0;3.35;3.75;12.0;AMMUTOLITO;;SI
986967521;XAMAMINA REFLUSSO 25BUST;4;0;15.79;16.82;6.6;AMMUTOLITO;;SI
988925487;YOVIS STICK 20STICK;4;0;12.88;13.86;7.7;AMMUTOLITO;;SI
989409115;ISOMAR OCCHI RO AI 0,20% 10ML;3;0;4.14;4.55;9.9;AMMUTOLITO;;SI
035500091;VOLTADVANCE*30CPR RIV 25MG;3;0;8.82;13.98;58.5;AMMUTOLITO;;SI
036193023;ESSAVEN*GEL 80G 10MG/G+8MG/G;3;0;7.85;8.13;3.6;AMMUTOLITO;;SI
040313049;TACHIPIRINA OROSOL*12BS 500MG;3;0;6.35;7.05;11.1;AMMUTOLITO;;SI
904104193;SIDERAL 20CPS;3;0;14.88;15.97;7.3;AMMUTOLITO;;SI
930525771;CARNIDYN PLUS 20BUST;3;0;11.81;13.66;15.7;AMMUTOLITO;;SI
930530718;DERMAFRESH IPERSUD LATTE CORPO;3;1;4.97;6.47;30.2;DIMEZZATO;;SI
930963956;DERMAFRESH ODOR CONTROL SPRAY;3;0;4.26;5.19;21.8;AMMUTOLITO;;SI
932654167;CARNIDYN FAST 20BUST;3;0;12.38;16.65;34.5;AMMUTOLITO;;SI
937030815;ARGIVIT 14BUST;3;1;15.62;17.28;10.6;DIMEZZATO;;SI
938980188;SIDERAL FORTE 20CPS;3;0;18.86;32.18;70.7;AMMUTOLITO;;SI
944324209;PREFOLIC MAMMA 30CPR;3;0;12.09;13.25;9.6;AMMUTOLITO;;SI
950913006;PLENITY KIT;3;0;85.45;94.00;10.0;AMMUTOLITO;;SI
973145838;CALCIOBASE 30STICK 10ML;3;0;10.40;12.63;21.4;AMMUTOLITO;;SI
978269532;LAEVOLAC STICK 10BUST;3;0;5.41;6.89;27.3;AMMUTOLITO;;SI
980423610;NEOBIANACID 70CPR MASTICABILI;3;0;17.03;18.70;9.8;AMMUTOLITO;;SI
980547451;ISYPAN STITICHEZZA 20BUST;3;0;7.87;8.70;10.5;AMMUTOLITO;;SI
981079864;BIOARGININA C ORALE 20FL;3;0;14.39;15.74;9.4;AMMUTOLITO;;SI
987875921;NORMALENE MACROGOL 4000 20BUST;3;0;5.80;8.83;52.2;AMMUTOLITO;;SI
(41 rows)
