minsan;nome;ord_12_25giu;ord_dopo_26;prezzo_venduto_pre;prezzo_ora;rincaro_pct;stato;pos_oggi;disponibile
979232648;METARECOD 40BUST GRAN;41;10;16.20;20.59;27.1;DIMEZZATO;5;SI
989022191;ESI BIOCOLLAGENIX FT 10DRINK;15;0;22.85;34.28;50.0;AMMUTOLITO;;SI
949973301;COLLAGENDEP SHAPE RESET 30BUST;9;3;39.06;41.94;7.4;DIMEZZATO;2;SI
940037601;FUSION WATER MAGIC REP SPF50;9;0;17.20;31.05;80.5;AMMUTOLITO;;SI
951486188;SCALP & HAIR SPRAY SPF50 50ML;7;2;12.64;14.90;17.9;DIMEZZATO;;SI
940037548;FUSION WATER MAGIC SPF50 50ML;7;2;16.14;19.70;22.1;DIMEZZATO;6;SI
951881539;ADIPROX FLUIDO CS 1+1;7;0;25.10;31.91;27.1;AMMUTOLITO;;SI
931660981;ESOXX ONE 20BUST STICK 10ML;6;1;13.81;21.67;57.0;DIMEZZATO;;SI
942002888;AFTER SUN LOZIONE SPRAY 200ML;6;1;10.47;12.92;23.4;DIMEZZATO;;SI
951136504;LIERAC SET NAT PREM SOYEUSE+CR;6;2;55.66;67.90;22.0;DIMEZZATO;1;SI
949922227;GLICOPER 30CPS;5;0;17.75;19.54;10.1;AMMUTOLITO;3;SI
951486202;FOTOPROTECTOR FACIAL MIST100ML;5;0;13.01;16.40;26.1;AMMUTOLITO;1;SI
981920933;SOLLIEVO FISIOLAX 90CPR;5;0;11.16;12.49;11.9;AMMUTOLITO;;SI
988826956;NCEF REVITALIZE CREAM 50ML;4;0;45.76;55.84;22.0;AMMUTOLITO;3;SI
979683455;HELIOCARE 360 PLUS 30CPS;4;1;20.82;22.90;10.0;DIMEZZATO;6;SI
980401917;FACE D PURE DRINK 30X15ML;3;0;34.98;39.28;12.3;AMMUTOLITO;6;SI
944128545;COLLAGENDEP CELL ARANCIA RECH;3;0;27.26;29.98;10.0;AMMUTOLITO;1;SI
988053765;DEFENCE BI-PACK ACQ DET STRUC;3;0;16.07;19.91;23.9;AMMUTOLITO;2;SI
974109290;CERAVE CREMA VISO IDRAT 50ML;3;0;12.89;17.21;33.5;AMMUTOLITO;;SI
940037625;TRANSPARENT SPRAY WET SKIN 50;3;0;22.99;26.14;13.7;AMMUTOLITO;;SI
942224383;APPORTAL 14BUST;3;0;16.86;23.24;37.9;AMMUTOLITO;;SI
(21 rows)
