minsan;nome;ord_12_25giu;ord_dopo_26;prezzo_venduto_pre;prezzo_ora;rincaro_pct;stato;pos_oggi;disponibile
016222073;CENTELLASE*30CPR 30MG;13;1;8.03;9.26;15.3;DIMEZZATO;3;SI
907918484;Summer Box Neutrogena;6;1;27.18;29.90;10.0;DIMEZZATO;;SI
935034330;EUMILL GOCCE OCUL PROTECTION;6;2;4.67;6.35;36.1;DIMEZZATO;1;SI
939143703;LACTOFLORENE PLUS 18FL 180ML;6;2;8.05;8.85;10.0;DIMEZZATO;11;SI
971268949;ATODERM HUILE DE DOUCHE 1L;5;0;10.92;12.79;17.1;AMMUTOLITO;5;SI
971676679;FLEBINEC PLUS 14BUST;4;0;11.83;15.41;30.3;AMMUTOLITO;19;SI
935688945;ARMOLIPID PLUS 60CPR;4;1;28.47;29.78;4.6;DIMEZZATO;25;SI
989332857;AVENE SOL SPRAY SPF 30 200ML;4;0;10.56;17.67;67.4;AMMUTOLITO;36;SI
945302228;PROLIFE 10 FORTE STICKPACK;4;0;5.27;6.70;27.1;AMMUTOLITO;12;SI
973472943;MICROLIFE AFIB ADVANCED EASY;3;1;72.50;81.29;12.1;DIMEZZATO;1;SI
975588056;SUPRADYN MAGNESIO/POT 24BUST;3;0;7.89;8.86;12.3;AMMUTOLITO;37;SI
976597070;ZZZQUIL SONNO 60PAST;3;0;13.90;15.29;10.0;AMMUTOLITO;13;SI
980911287;SUN SECURE CREME SPF50+ NF50ML;3;0;9.28;11.33;22.0;AMMUTOLITO;5;SI
981042866;RILASTIL SUN PPT 30 STICK TRAS;3;0;5.71;7.16;25.4;AMMUTOLITO;19;SI
981042928;RILASTIL SUN PPT 50+ STICK TRA;3;0;7.04;8.33;18.4;AMMUTOLITO;3;SI
981042967;RILASTIL SUN PPT LATTE VELL 30;3;0;12.05;13.63;13.1;AMMUTOLITO;5;SI
981079864;BIOARGININA C ORALE 20FL;3;0;15.26;16.99;11.3;AMMUTOLITO;10;SI
981491499;SYSTANE ULTRA S/CONSERV 10ML;3;0;13.18;14.28;8.3;AMMUTOLITO;5;SI
982893240;EXTRA GENTLE DERMOPROT SH400ML;3;0;7.85;16.11;105.3;AMMUTOLITO;51;SI
982947451;CAPITAL SPRAY SPF50+ 200ML;3;0;10.42;14.19;36.2;AMMUTOLITO;;SI
985002029;ZYLKENE PLUS CANI 15-60KG;3;0;42.22;53.56;26.9;AMMUTOLITO;1;SI
986065629;ORA DREN PLUS 40CPR;3;0;21.17;24.55;15.9;AMMUTOLITO;3;SI
987400886;ANTHELIOS POST UV EXPOSUR400ML;3;0;11.57;14.24;23.1;AMMUTOLITO;4;SI
988925487;YOVIS STICK 20STICK;3;1;13.91;14.35;3.1;DIMEZZATO;;SI
989468982;BARIESUN SPF50+ STICK SOL INV;3;0;6.52;8.12;24.5;AMMUTOLITO;1;SI
020702344;MAALOX PLUS*50CPR MAST;3;1;11.66;12.83;10.0;DIMEZZATO;15;SI
904104193;SIDERAL 20CPS;3;0;14.82;18.01;21.5;AMMUTOLITO;22;SI
911033280;MEPILEX LITE MEDIC 10X10CM 5PZ;3;0;14.98;18.22;21.6;AMMUTOLITO;1;SI
931504462;DEPI 50+ CANOVA CREMA 50ML;3;1;27.37;31.96;16.8;DIMEZZATO;1;SI
931660981;ESOXX ONE 20BUST STICK 10ML;3;0;16.81;18.63;10.8;AMMUTOLITO;49;SI
934416619;DICOFLOR ELLE 28CPS;3;0;19.70;26.40;34.0;AMMUTOLITO;21;SI
949645295;MASSIGEN PRONTO RECUP18BUST 25;3;1;3.82;4.19;9.7;DIMEZZATO;1;SI
950566505;EURECIT 20STICK PACK OROSOLUB;3;1;20.29;22.56;11.2;DIMEZZATO;2;SI
(33 rows)
