minsan;nome;ord_12_25giu;ord_dopo_26;prezzo_venduto_pre;prezzo_ora;rincaro_pct;stato;pos_oggi;disponibile
023356076;DAFLON*120CPR RIV 500MG;15;1;31.61;40.19;27.2;DIMEZZATO;31;SI
987025499;THEALOZ TOTAL GOCCE OCUL 10ML;10;2;14.43;17.43;20.8;DIMEZZATO;11;SI
000590051;RINAZINA*SPRAY NAS 15ML 0,1%;9;1;7.48;8.19;9.5;DIMEZZATO;3;SI
988925487;YOVIS STICK 20STICK;7;0;12.79;16.29;27.4;AMMUTOLITO;14;SI
023356049;DAFLON*60CPR RIV 500MG;7;1;17.36;19.95;14.9;DIMEZZATO;13;SI
930327008;ONLIGOL MACROGOL 4000 20BUST;6;0;8.07;11.01;36.4;AMMUTOLITO;40;SI
012745168;TACHIPIRINA*30CPR DIV 500MG;6;1;4.85;6.18;27.4;DIMEZZATO;26;SI
984874812;VERAVIS T SUPREMO GRANI LU 1KG;6;1;84.39;92.70;9.8;DIMEZZATO;1;SI
904564681;LDF BIOVENUM 500 60CPR;5;1;10.97;13.39;22.1;DIMEZZATO;2;SI
989018130;MAGNESIO SUPREMO POTASSIO+150G;4;0;7.96;17.00;113.7;AMMUTOLITO;42;SI
935034330;EUMILL GOCCE OCUL PROTECTION;3;1;4.58;9.15;99.8;DIMEZZATO;;SI
952055097;MEDOLEN PLUS 30CPR;3;0;17.43;20.27;16.3;AMMUTOLITO;4;SI
971747389;AROMATOIL ORIGANO 50OPR;3;0;16.87;19.48;15.5;AMMUTOLITO;6;SI
930617600;RELAXMAP 60CPR;3;0;18.47;19.92;7.8;AMMUTOLITO;2;SI
984905947;MSM ORGANIC 120CPS;3;0;12.05;13.96;15.9;AMMUTOLITO;5;SI
049770050;ARTEMIS*60CPR RIV 500MG;3;1;11.32;12.03;6.3;DIMEZZATO;1;SI
987757667;LIPEDESIN 30BUST;3;1;28.71;31.47;9.6;DIMEZZATO;2;SI
988909988;DARFAX TEND 28BUST;3;0;20.00;22.39;12.0;AMMUTOLITO;7;SI
041631033;BUSCOFENACT*20CPS MOLLI 400MG;3;0;8.54;8.99;5.3;AMMUTOLITO;7;SI
036193023;ESSAVEN*GEL 80G 10MG/G+8MG/G;3;1;7.68;8.04;4.7;DIMEZZATO;4;SI
(20 rows)
