minsan;nome;ord_12_25giu;ord_dopo_26;prezzo_venduto_pre;prezzo_ora;rincaro_pct;stato;pos_oggi;disponibile
940037625;TRANSPARENT SPRAY WET SKIN 50;22;7;15.94;27.45;72.2;DIMEZZATO;25;SI
940037637;TRANSPARENT SPRAY WET PEDIAT50;14;1;16.38;27.05;65.1;DIMEZZATO;24;SI
040282016;ACTIFED DECONGEST*SPRAY 10ML;9;1;3.86;4.25;10.0;DIMEZZATO;3;SI
940037548;FUSION WATER MAGIC SPF50 50ML;8;3;15.66;19.70;25.8;DIMEZZATO;3;SI
975588056;SUPRADYN MAGNESIO/POT 24BUST;8;3;5.75;8.26;43.7;DIMEZZATO;30;SI
949705798;PEDIATRICS STICK SPF50 20G;7;0;14.49;17.28;19.3;AMMUTOLITO;4;SI
951800883;VINOPERFECT&SOLARE COF 2026;6;2;29.45;35.92;22.0;DIMEZZATO;3;SI
942921077;ISDIN PROTECTOR LABIAL SPF50+;6;1;4.27;5.62;31.5;DIMEZZATO;7;SI
972264408;YOVIS CAPS 10CPS;5;0;6.86;7.55;10.0;AMMUTOLITO;9;SI
943911469;ISDINCEUTICS AGE REVERSE NIGHT;5;1;57.96;70.73;22.0;DIMEZZATO;1;SI
972264410;YOVIS STICK 10BUST;4;1;6.50;7.15;10.0;DIMEZZATO;1;SI
951486190;BODY LOTION SPF50 250ML;4;0;16.96;21.12;24.5;AMMUTOLITO;8;SI
025829185;MOMENDOL*24CPR RIV 220MG;4;1;6.29;6.92;10.0;DIMEZZATO;3;SI
042386348;BRUFEN ANALGESICO*12CPR 400MG;4;0;5.06;5.56;9.9;AMMUTOLITO;;SI
942899307;FOTOPROTECTOR GEL CREAM 250ML;4;0;16.72;20.71;23.9;AMMUTOLITO;6;SI
951305162;VINOSUN LATTE RIPA DOPOSO200ML;3;0;7.80;9.51;21.9;AMMUTOLITO;5;SI
975966918;BIAFIN EMULSIONE CUTANEA PROMO;3;1;4.82;5.89;22.1;DIMEZZATO;4;SI
983191432;AUTAN DEFENSE LONG PROT 100ML;3;0;5.13;7.00;36.5;AMMUTOLITO;6;SI
989606936;ANGSTROM SPRAY TRASP SPF50+;3;0;8.24;10.30;24.9;AMMUTOLITO;1;SI
989669890;DEFENCE SUN 50+ LATTE SPR200ML;3;1;9.52;11.62;22.0;DIMEZZATO;11;SI
015784097;BIOCHETASI*OS GRAT EFF 18BUST;3;0;9.13;10.04;10.0;AMMUTOLITO;3;SI
989669965;DEFENCE SUN SPRAY DOPOS RINF;3;0;7.81;9.53;22.0;AMMUTOLITO;11;SI
023673092;IMODIUM*12CPR OROSOL 2MG;3;0;7.54;8.30;10.0;AMMUTOLITO;2;SI
029651039;GLICEROLO*AD 18SUPP 2250MG;3;0;2.00;2.20;10.0;AMMUTOLITO;;SI
034548154;VOLTAREN EMULGEL*GEL 100G 2%;3;1;11.53;12.68;10.0;DIMEZZATO;2;SI
035400023;ACTIGRIP GIORNO&NOTTE*12+4CPR;3;1;4.43;4.87;10.0;DIMEZZATO;1;SI
036193023;ESSAVEN*GEL 80G 10MG/G+8MG/G;3;0;7.45;8.20;10.0;AMMUTOLITO;7;SI
041545031;GAVISCON BRUCIORE E INDIG*24BS;3;1;8.41;9.25;10.0;DIMEZZATO;7;SI
041631021;BUSCOFENACT*12CPS MOLLI 400MG;3;1;4.91;5.40;10.0;DIMEZZATO;2;SI
902549652;PSYLLOGEL FIBRA ARA RO 20BUST;3;0;7.90;9.61;21.7;AMMUTOLITO;26;SI
905972081;MAGNESIO SUPREMO 300G;3;1;20.37;22.29;9.4;DIMEZZATO;57;SI
909089031;ACQUA SIRMIONE MIN NAT 6F 15ML;3;1;6.07;7.40;21.9;DIMEZZATO;2;SI
926231883;ANTHELIOS SPRAY INVISIBILE 50+;3;1;14.39;18.87;31.1;DIMEZZATO;44;SI
940037587;FUSION WATER MAGIC LIGHT SPF50;3;0;15.15;20.24;33.6;AMMUTOLITO;9;SI
942002888;AFTER SUN LOZIONE SPRAY 200ML;3;1;11.17;13.92;24.6;DIMEZZATO;9;SI
947096994;FOTOPROTECTOR INVISIBLE STICK;3;1;11.42;14.13;23.8;DIMEZZATO;7;SI
(36 rows)
