minsan;nome;ord_12_25giu;ord_dopo_26;prezzo_venduto_pre;prezzo_ora;rincaro_pct;stato;pos_oggi;disponibile
982539342;LFP COLESTTAB PLUS 30CPR;11;4;17.37;18.85;8.5;DIMEZZATO;2;SI
984622706;BUTIRBIOMA 30CPR;10;1;14.28;19.83;38.9;DIMEZZATO;32;SI
983803596;SERENCOL PLUS 30CPR;7;0;12.65;14.84;17.3;AMMUTOLITO;;SI
950056857;DISBIOMA 14BUST;5;1;11.58;12.74;10.0;DIMEZZATO;1;SI
035500091;VOLTADVANCE*30CPR RIV 25MG;5;0;8.46;9.27;9.5;AMMUTOLITO;2;SI
040282016;ACTIFED DECONGEST*SPRAY 10ML;5;0;4.18;4.60;10.0;AMMUTOLITO;9;SI
949645271;MASSIGEN MAGNESIO K S/Z SPEC25;5;0;5.11;8.80;72.1;AMMUTOLITO;14;SI
982013726;VENOPLANT 40BUST;4;0;20.80;22.88;10.0;AMMUTOLITO;1;SI
923757037;NEUTROGENA CORPO FLUIDA PROF;4;0;4.90;13.95;184.7;AMMUTOLITO;22;SI
049770050;ARTEMIS*60CPR RIV 500MG;4;0;11.32;22.14;95.6;AMMUTOLITO;21;SI
979195536;LFP COLESTTAB 30CPR;4;1;13.27;15.70;18.3;DIMEZZATO;4;SI
949645283;MASSIGEN MAGNESIO K FT SPEC 25;4;0;6.15;6.47;5.2;AMMUTOLITO;4;SI
934865421;CERAMOL OLIO DETERGENTE 400ML;4;0;9.34;11.40;22.0;AMMUTOLITO;;SI
989332782;AVENE SOL SPR SPF 50 200ML;4;1;10.25;12.50;22.0;DIMEZZATO;8;SI
025829185;MOMENDOL*24CPR RIV 220MG;3;0;7.94;9.09;14.5;AMMUTOLITO;13;SI
989332857;AVENE SOL SPRAY SPF 30 200ML;3;0;10.62;12.68;19.4;AMMUTOLITO;8;SI
026630020;IRIDINA DUE*COLL 10ML 0,5MG/ML;3;1;3.54;3.84;8.5;DIMEZZATO;3;SI
034548230;VOLTAREN EMULGEL*GEL 180G 2%;3;0;17.61;19.34;9.8;AMMUTOLITO;3;SI
037087032;TROSYD DERMATITE SEB*SH120ML2%;3;1;5.76;6.23;8.1;DIMEZZATO;1;SI
909893238;LFP CISTINA METIONINA 60CPS;3;0;14.45;15.89;9.9;AMMUTOLITO;3;SI
921144426;CERAMOL SHAMPOO DOCCIA 200ML;3;0;8.31;10.21;22.9;AMMUTOLITO;2;SI
930327008;ONLIGOL MACROGOL 4000 20BUST;3;0;8.94;10.31;15.3;AMMUTOLITO;22;SI
931925109;ELMEX SENSITIVE PROF 75ML;3;0;3.26;3.59;10.0;AMMUTOLITO;2;SI
933784389;MIOVEN 700 20CPR;3;0;13.79;19.13;38.7;AMMUTOLITO;;SI
951384015;POLASE SUPERMAG3 BAR 120G;3;0;9.80;11.03;12.6;AMMUTOLITO;;SI
971268634;AUTOTEST VIH SCREENING HIV;3;0;5.37;6.38;18.8;AMMUTOLITO;1;SI
980763751;CARNIDYN PLUS 18CRP MASTICABIL;3;0;11.70;12.95;10.7;AMMUTOLITO;5;SI
981212475;SOMAT SKIN EX VISO 4D FILL GEL;3;1;19.75;24.12;22.1;DIMEZZATO;;SI
987437199;POLASE PLUS 36BUST PROMO;3;1;13.26;14.59;10.0;DIMEZZATO;15;SI
(29 rows)
