minsan;nome;ord_12_25giu;ord_dopo_26;prezzo_venduto_pre;prezzo_ora;rincaro_pct;stato;pos_oggi;disponibile
000590051;RINAZINA*SPRAY NAS 15ML 0,1%;12;1;7.56;10.23;35.4;DIMEZZATO;38;SI
931033791;HDLGELAR URTO 45CPS;11;3;17.69;19.46;10.0;DIMEZZATO;1;SI
034548230;VOLTAREN EMULGEL*GEL 180G 2%;6;0;18.83;20.95;11.3;AMMUTOLITO;10;SI
976597070;ZZZQUIL SONNO 60PAST;6;1;12.48;13.79;10.5;DIMEZZATO;5;SI
012745168;TACHIPIRINA*30CPR DIV 500MG;5;1;5.99;6.59;10.0;DIMEZZATO;29;SI
942802772;COGNIDEP 14BUST;3;0;21.73;23.79;9.5;AMMUTOLITO;2;SI
971116951;SYNAPSINE 10FL 10ML;3;0;19.63;22.08;12.5;AMMUTOLITO;9;SI
971804568;PROTOCOL BONE 30BUST;3;0;27.57;29.49;7.0;AMMUTOLITO;;SI
984874812;VERAVIS T SUPREMO GRANI LU 1KG;3;0;85.13;97.13;14.1;AMMUTOLITO;9;SI
986903110;EROXON 4TUB 0,3ML;3;1;19.11;24.13;26.3;DIMEZZATO;15;SI
987757667;LIPEDESIN 30BUST;3;1;28.72;31.47;9.6;DIMEZZATO;1;SI
988031136;ENTEROLACTIS PLUS 30CPS;3;0;19.39;22.74;17.3;AMMUTOLITO;15;SI
988784955;POLYCURC 15STICKPACK;3;0;26.30;31.96;21.5;AMMUTOLITO;11;SI
989669953;DEFENCE SUN FLUIDO DOPOS IDRAT;3;0;12.42;14.70;18.3;AMMUTOLITO;16;SI
004758025;PURSENNID*40CPR RIV 12MG;3;1;6.99;9.23;32.0;DIMEZZATO;10;SI
020051037;FOILLE INSETTI*CREMA 15G 0,5%;3;1;5.99;7.07;18.0;DIMEZZATO;21;SI
926025913;MERITENE FORZA/VITAL CIOC 270G;3;0;10.79;14.63;35.6;AMMUTOLITO;22;SI
930252782;IRILENS 0,4% GOCCE OCULARI10ML;3;0;3.55;6.01;69.1;AMMUTOLITO;19;SI
(18 rows)
