minsan;nome;ord_12_25giu;ord_dopo_26;prezzo_venduto_pre;prezzo_ora;rincaro_pct;stato;pos_oggi;disponibile
988166029;CARDIORITMON COLESTEROLO 60CPS;93;20;29.28;33.90;15.8;DIMEZZATO;1;SI
975588056;SUPRADYN MAGNESIO/POT 24BUST;27;8;4.59;5.45;18.6;DIMEZZATO;6;SI
934321910;SUPRADYN MAGNESIO/POT 14BUST;14;5;2.91;3.20;10.0;DIMEZZATO;2;SI
043787035;NAFAZOLINA PE*SPRAY NAS 15ML;11;4;7.38;7.96;7.8;DIMEZZATO;1;SI
985722483;KIJIMEA K53 ADVANCE 56CPS;11;1;40.05;43.92;9.7;DIMEZZATO;1;SI
942774148;CETILAR CREMA 50ML;9;2;10.21;12.45;22.0;DIMEZZATO;6;SI
023356076;DAFLON*120CPR RIV 500MG;8;1;35.70;39.79;11.5;DIMEZZATO;28;SI
930062245;PROJOINT COMPLEX 60TAV;7;0;40.45;43.99;8.7;AMMUTOLITO;5;SI
935801922;KAROS GOLA PASTIGLIE 20PAST;7;1;7.00;7.70;10.0;DIMEZZATO;2;SI
947454296;DEFLUX FORTE 20STICK MONODOSE;7;0;18.43;19.71;6.9;AMMUTOLITO;3;SI
024964140;NIZORAL*SHAMPOO FL 100G 20MG/G;6;2;13.55;13.99;3.3;DIMEZZATO;2;SI
035618204;MOMENTACT*30CPR RIV 400MG;6;0;9.06;9.89;9.2;AMMUTOLITO;9;SI
984876779;SUPRADYN RICARICA 50+ 90CPR;6;0;21.36;23.50;10.0;AMMUTOLITO;5;SI
027757044;FLECTOR*10CER MEDIC 180MG;6;0;10.78;11.86;10.0;AMMUTOLITO;8;SI
947073716;RILASTIL XEROLACT BALS SP400ML;6;0;9.43;11.50;22.0;AMMUTOLITO;;NO
947335410;VITREOLENE 30BUST;6;0;17.85;20.34;14.0;AMMUTOLITO;9;SI
025636059;IBUPROFENE SAN*24CPR RIV 200MG;5;0;3.20;5.53;72.8;AMMUTOLITO;5;SI
047839016;TRACTANA*28CPR RIV 200MG;5;1;14.33;15.78;10.1;DIMEZZATO;1;SI
944898105;CETILAR TAPE STRISCIA ADES ANE;5;0;12.31;13.63;10.7;AMMUTOLITO;2;SI
943779013;ASTAR 3D 60CPS MOLLI;5;1;30.77;33.82;9.9;DIMEZZATO;4;SI
943372843;PRINCIPIUM B12 1000 60CPR SUBL;5;0;11.47;12.38;8.0;AMMUTOLITO;6;SI
982145132;ENTEROFLEGIN 30CPR;5;1;17.81;20.40;14.5;DIMEZZATO;7;SI
028440030;CONNETTIVINA PLUS*CREMA 25G;5;1;8.79;9.68;10.1;DIMEZZATO;1;SI
900996366;VEA SPRAY ECOL 100ML;5;1;17.30;20.80;20.2;DIMEZZATO;6;SI
906553399;SYKON SCIROPPO 225ML;4;0;13.60;14.49;6.5;AMMUTOLITO;5;SI
912111111;PHYSIOMANNA LAXDEPUR MANNITE;4;0;10.90;11.82;8.4;AMMUTOLITO;3;SI
932717275;PROLIFE 10 MLD ZERO ZUCCH 10FL;4;0;6.34;6.62;4.5;AMMUTOLITO;20;SI
952052898;KALANIT DOL LIMONE 14BUST;4;0;23.70;25.95;9.5;AMMUTOLITO;1;SI
